window_idx,start_ts,end_ts,rows,unique_rows
1,1755930974922,1756535774921,2,2
2,1756535774922,1757140574921,2,2
3,1757140574922,1757745374921,2,2
4,1757745374922,1758350174921,3,3
5,1758350174922,1758954974921,3,3
6,1758954974922,1759559774921,5,5
7,1759559774922,1760164574921,5,5
8,1760164574922,1760769374921,5,5
9,1760769374922,1761374174921,4,4
10,1761374174922,1761978974921,5,5
11,1761978974922,1762583774921,5,5
12,1762583774922,1763188574921,6,6
13,1763188574922,1763793374921,7,7
14,1763793374922,1764398174921,9,9
15,1764398174922,1765002974921,14,14
16,1765002974922,1765607774921,22,22
17,1765607774922,1766212574921,31,31
18,1766212574922,1766817374921,35,35
19,1766817374922,1767422174921,37,37
20,1767422174922,1768026974921,36,36
21,1768026974922,1768631774921,36,36
22,1768631774922,1769236574921,33,33
23,1769236574922,1769841374921,29,29
24,1769841374922,1770446174921,29,29
25,1770446174922,1771050974921,29,29
26,1771050974922,1771655774921,29,29
27,1771655774922,1772260574921,29,29
28,1772260574922,1772865374921,29,29
29,1772865374922,1773470174921,29,29
30,1773470174922,1774074974921,4,4
