file_token,in_input_files,in_metadata_manifest
2026-03-02 105925,1,0
2026-03-02 161335_seal_unheated,1,1
2026-03-03 101220_seal_heated,1,1
2026-03-03 181049_unseal_unheated,1,1
2026-03-04 120007_seal_unheated,1,0
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,1,1
2026-03-04 163909_unseal_unheated,1,0
2026-03-06 160246_seal_unheated,1,1
2026-03-08 104441_seal_unheated,0,1
2026-03-08 172014_seal_unheated,1,1
2026-03-09 102255_seal_unheated,0,1
2026-03-10 170038_seal_heated,0,1
2026-03-13 080032_unseal_heated,1,1
2026-03-13 111811_seal_heated,0,1
2026-03-14 174006_unseal_heated,1,1
2026-03-15 140001_unseal_unheated,0,1
2026-03-17 180258_seal_heated,1,0
2026-03-21 170450_unseal_heated,1,0
2026-03-22 150919_unseal_unheated,1,0
2026-03-23 212849_seal_unheated,1,0
2026-03-23 213435_seal_unheated,1,0
nan,0,1
