file,window_id,start_time,end_time,window_center_time,class_label,expected_family,transition_phase,mean_dT,mean_dAH,delta_half_in_hum,delta_half_dAH,slope_in_temp,slope_AH_in,hole_time
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0001,2026-03-04 12:00:00,2026-03-05 12:00:00,2026-03-05 00:00:00,外部高湿驱动工况,transition_run,post_transition,0.04866295264623961,-4.255753502804394,1.5026601671309123,0.14100528604407803,-0.07438999541338322,-0.01642553770004929,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0002,2026-03-04 13:00:00,2026-03-05 13:00:00,2026-03-05 01:00:00,外部高湿驱动工况,transition_run,post_transition,0.016239554317548793,-4.269130114505864,1.4119220055710429,0.18749535575850196,-0.06845688758680325,-0.014854668496624762,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0003,2026-03-04 14:00:00,2026-03-05 14:00:00,2026-03-05 02:00:00,外部高湿驱动工况,transition_run,post_transition,0.003516713091922042,-4.268997852287798,1.3458356545960939,0.20213406336651385,-0.06703231715714834,-0.014976545457198282,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0004,2026-03-04 15:00:00,2026-03-05 15:00:00,2026-03-05 03:00:00,外部高湿驱动工况,transition_run,post_transition,-0.0007863604732080494,-4.2623337294622194,1.2845446902809243,0.19902415467817214,-0.06640760178225553,-0.015418573304986732,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0005,2026-03-04 16:00:00,2026-03-05 16:00:00,2026-03-05 04:00:00,外部高湿驱动工况,transition_run,post_transition,-0.0025956854558107046,-4.252214775863608,1.21792523661383,0.18297073829303567,-0.06495846605716803,-0.015602202293625212,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0006,2026-03-04 17:00:00,2026-03-05 17:00:00,2026-03-05 05:00:00,外部高湿驱动工况,transition_run,post_transition,-0.007428769979152169,-4.244525317630704,1.1546182004327008,0.16693600431293554,-0.06237560086485416,-0.015329207484186034,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0007,2026-03-04 18:00:00,2026-03-05 18:00:00,2026-03-05 06:00:00,外部高湿驱动工况,transition_run,post_transition,-0.010535093815149398,-4.236341778199131,1.1126871233194322,0.14831054882625594,-0.05942713139298894,-0.014557218709637687,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0008,2026-03-04 19:00:00,2026-03-05 19:00:00,2026-03-05 07:00:00,外部高湿驱动工况,transition_run,post_transition,-0.010965948575399608,-4.226029998746343,1.0788265917168758,0.12455180687759704,-0.055346805178742235,-0.013166509466371401,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0009,2026-03-04 20:00:00,2026-03-05 20:00:00,2026-03-05 08:00:00,外部高湿驱动工况,transition_run,post_transition,-0.010535093815149454,-4.214519129533817,1.0484879269046417,0.0982589181880984,-0.05006916076638441,-0.011207468362263835,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0010,2026-03-04 21:00:00,2026-03-05 21:00:00,2026-03-05 09:00:00,外部高湿驱动工况,transition_run,post_transition,-0.010291869353717885,-4.202558374729591,1.0180419371040088,0.07131369293454881,-0.044005540977280835,-0.008855936191994557,2026-03-04 16:39:09
