file,n_windows,dominant_label,dominant_ratio,expected_family,initial_state,heat_source,ext_humidity_level,in_humidity_level,hole_time,near_transition_windows,near_transition_transition_label_ratio,expected_match_ratio,count_低信息工况,ratio_低信息工况,count_外部高湿驱动工况,ratio_外部高湿驱动工况,count_热源稳定工况,ratio_热源稳定工况,count_热源启动窗口,ratio_热源启动窗口,count_冷却窗口,ratio_冷却窗口,count_内部积湿状态切换窗口,ratio_内部积湿状态切换窗口,count_内部积湿工况,ratio_内部积湿工况,count_复杂耦合工况,ratio_复杂耦合工况
2026-03-02 161335_seal_unheated,13,外部高湿驱动工况,1.0,ext_high_hum_no_heat,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,,0,,1.0,0,0.0,13,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-03 181049_unseal_unheated,11,外部高湿驱动工况,0.8181818181818182,ext_high_hum_no_heat,非密封状态，外部湿度高，内部湿度低，无热源,无,高,低,,0,,0.8181818181818182,0,0.0,9,0.8181818181818182,0,0.0,0,0.0,2,0.18181818181818182,0,0.0,0,0.0,0,0.0
2026-03-06 160246_seal_unheated,38,外部高湿驱动工况,1.0,ext_high_hum_no_heat,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,,0,,1.0,0,0.0,38,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-03 101220_seal_heated,2,热源启动窗口,1.0,ext_high_hum_with_heat,密封状态，外部湿度高，内部湿度低，有热源,有,高,低,,0,,1.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-13 080032_unseal_heated,29,热源稳定工况,0.5862068965517241,ext_high_hum_with_heat,非密封状态，外部湿度高，内部湿度低，有热源,有,高,低,,0,,1.0,0,0.0,0,0.0,17,0.5862068965517241,7,0.2413793103448276,0,0.0,0,0.0,0,0.0,5,0.1724137931034483
2026-03-14 174006_unseal_heated,66,热源稳定工况,0.9393939393939394,ext_high_hum_with_heat,非密封状态，外部湿度高，内部湿度低，有热源,有,高,低,,0,,1.0,0,0.0,0,0.0,62,0.9393939393939394,0,0.0,0,0.0,0,0.0,0,0.0,4,0.06060606060606061
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,41,外部高湿驱动工况,1.0,transition_run,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,2026-03-04 16:39:09,8,0.0,1.0,0,0.0,41,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-08 172014_seal_unheated,108,外部高湿驱动工况,1.0,transition_run,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,2026-03-10 10:00:00,13,0.0,1.0,0,0.0,108,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-04 163909_unseal_unheated,37,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,37,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-17 180258_seal_heated,11,复杂耦合工况,0.45454545454545453,unknown,,,,,,0,,,0,0.0,0,0.0,2,0.18181818181818182,4,0.36363636363636365,0,0.0,0,0.0,0,0.0,5,0.45454545454545453
2026-03-21 170450_unseal_heated,42,外部高湿驱动工况,0.7857142857142857,unknown,,,,,,0,,,0,0.0,33,0.7857142857142857,0,0.0,0,0.0,9,0.21428571428571427,0,0.0,0,0.0,0,0.0
2026-03-22 150919_unseal_unheated,22,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,22,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-23 213435_seal_unheated,15,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,15,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
