序号,device_id_manifest,initial_state,ext_humidity_level,in_humidity_level,heat_source,hole_time,updated_time,data_file_name,notes
1,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,2026-03-02 161335_seal_unheated,
2,000120165524,密封状态，外部湿度高，内部湿度低，有热源,高,低,有,,2026-03-03,2026-03-03 101220_seal_heated,
3,000120165524,非密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-04,2026-03-03 181049_unseal_unheated,
4,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,2026-03-04 16:39:09,2026-03-06,2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,
5,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-08,2026-03-06 160246_seal_unheated,
6,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,2026-03-10 10:00:00,2026-03-13,2026-03-08 172014_seal_unheated,
7,000120165518,密封状态，内外温湿度均衡，无热源,中,中,无,,2026-03-13,2026-03-08 104441_seal_unheated,
8,000120165519,密封状态，外部湿度低，内部湿度高，无热源,低,高,无,2026-03-10 10:00:09,2026-03-13,2026-03-09 102255_seal_unheated,
9,000120165524,非密封状态，外部湿度高，内部湿度低，有热源,高,低,有,,2026-03-14,2026-03-13 080032_unseal_heated,2026-03-13 10:01 开始加热
10,000120165520,密封状态，内外温湿度均衡，有热源,中,中,有,2026-03-13 10:02:50,2026-03-15,2026-03-10 170038_seal_heated,
11,000120165519,密封状态，外部湿度低，内部湿度高，有热源,低,高,有,2026-03-15 15:00:00,2026-03-17,2026-03-13 111811_seal_heated,
12,000120165520,非密封状态，内外温湿度均衡，无热源,中,中,无,,2026-03-17,2026-03-15 140001_unseal_unheated,
13,000120165524,非密封状态，外部湿度高，内部湿度低，有热源,高,低,有,,2026-03-17,2026-03-14 174006_unseal_heated,
14,,,,,,,,nan,
