file,window_id,start_time,end_time,window_center_time,class_label,expected_family,transition_phase,mean_dT,mean_dAH,delta_half_in_hum,delta_half_dAH,slope_in_temp,slope_AH_in,hole_time
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0001,2026-03-04 12:00:00,2026-03-04 18:00:00,2026-03-04 15:00:00,外部高湿驱动工况,transition_run,near_transition,0.16282913165266114,-4.2582597428930375,0.5734831460674314,-0.28831665331789225,-0.1557308928889677,-0.04136378135028909,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0002,2026-03-04 13:00:00,2026-03-04 19:00:00,2026-03-04 16:00:00,外部高湿驱动工况,transition_run,near_transition,0.03478991596638669,-4.357379327953681,0.5889209716904134,-0.09138916880077463,-0.0571581111865685,0.0009378073617168355,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0003,2026-03-04 14:00:00,2026-03-04 20:00:00,2026-03-04 17:00:00,外部高湿驱动工况,transition_run,near_transition,-0.01352941176470573,-4.403128692170648,0.71856788651057,-0.04125109312639452,-0.022200546149209507,0.01804009621762154,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0004,2026-03-04 15:00:00,2026-03-04 21:00:00,2026-03-04 18:00:00,外部高湿驱动工况,transition_run,near_transition,-0.0262569832402233,-4.421438099152015,0.680391061452525,-0.038332427070590036,-0.010126503140862754,0.02388318804948133,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0005,2026-03-04 16:00:00,2026-03-04 22:00:00,2026-03-04 19:00:00,外部高湿驱动工况,transition_run,near_transition,-0.016871508379888163,-4.415044707980873,0.5586033519553055,-0.02381275698239005,-0.005815637579897765,0.022307963569662026,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0006,2026-03-04 17:00:00,2026-03-04 23:00:00,2026-03-04 20:00:00,外部高湿驱动工况,transition_run,near_transition,-0.013027777777777654,-4.407891522889618,0.41427777777779795,0.030809610584762837,-0.01285309319262979,0.01219158297714374,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0007,2026-03-04 18:00:00,2026-03-05 00:00:00,2026-03-04 21:00:00,外部高湿驱动工况,transition_run,near_transition,-0.001972222222222141,-4.39376007245676,0.35077777777777186,0.09348722739605986,-0.04184422569441809,-0.0033159884874652172,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0008,2026-03-04 19:00:00,2026-03-05 01:00:00,2026-03-04 22:00:00,外部高湿驱动工况,transition_run,near_transition,0.01638888888888893,-4.368157588502461,0.3303888888888977,0.11825867297719839,-0.07492906668341791,-0.01896469182445759,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0009,2026-03-04 20:00:00,2026-03-05 02:00:00,2026-03-04 23:00:00,外部高湿驱动工况,transition_run,post_transition,0.030278551532033442,-4.33798007963589,0.32602017380507675,0.10972912581524863,-0.1000054711666216,-0.030584470492630383,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0010,2026-03-04 21:00:00,2026-03-05 03:00:00,2026-03-05 00:00:00,外部高湿驱动工况,transition_run,post_transition,0.044178272980501386,-4.302959067114682,0.3275940409683429,0.08841322693765719,-0.11250091314465037,-0.03593935786276531,2026-03-04 16:39:09
