feature,direction,positive_median,positive_match,positive_total,negative_match,negative_total,guard_match,guard_total,guard_match_ratio
best_lag_level_hum,neg,0.0,3,4,4,5,7,9,0.7777777777777778
corr_headroom_in_hum,neg,-0.9130194196291104,2,4,5,5,7,9,0.7777777777777778
corr_out_hum_in_hum,pos,0.9902075438119426,2,4,5,5,7,9,0.7777777777777778
late_rh_gain_per_out,pos,2.945691238520862,2,4,5,5,7,9,0.7777777777777778
max_corr_level_hum,pos,0.9940270664844773,2,4,5,5,7,9,0.7777777777777778
best_lag_rh_h,neg,0.0,3,4,3,4,6,8,0.75
early_ah_resp_ratio,pos,0.9,2,4,3,3,5,7,0.7142857142857143
best_lag_dew_h,pos,1.5,2,4,4,5,6,9,0.6666666666666666
corr_dew_gap_in_dew,neg,-0.9470139164569112,2,4,4,5,6,9,0.6666666666666666
dew_gap_area_pos,pos,256.16578236993473,2,4,4,5,6,9,0.6666666666666666
end_start_dAH,pos,0.3627432437190405,2,4,4,5,6,9,0.6666666666666666
headroom_gain_ratio,pos,0.0007858693810776,2,4,4,5,6,9,0.6666666666666666
late_minus_early_rh_gain,pos,1.766353761129049,2,4,4,5,6,9,0.6666666666666666
max_corr_level_ah,neg,0.9170589241581364,2,4,4,5,6,9,0.6666666666666666
max_corr_level_dew,neg,0.9316381797311952,2,4,4,5,6,9,0.6666666666666666
ah_neg_response_ratio,neg,0.468223978014428,2,4,2,2,4,6,0.6666666666666666
dew_headroom_capture_ratio,pos,0.5247337684644452,2,4,2,2,4,6,0.6666666666666666
dew_neg_response_ratio,neg,0.4752662315355548,2,4,2,2,4,6,0.6666666666666666
best_lag_h,pos,1.5,2,4,3,4,5,8,0.625
positive_ah_response_ratio,pos,0.5315524583817267,2,4,3,4,5,8,0.625
ah_gap_area_pos,pos,174.30106005170245,2,4,3,5,5,9,0.5555555555555556
corr_headroom_AH_in,neg,-0.8637831136679002,2,4,3,5,5,9,0.5555555555555556
corr_out_dew_in_dew,neg,0.8788417125578663,2,4,3,5,5,9,0.5555555555555556
delta_half_dAH,pos,0.1847359425152421,2,4,3,5,5,9,0.5555555555555556
delta_half_in_h,pos,2.378134819458378,2,4,3,5,5,9,0.5555555555555556
early_rh_gain_per_out,pos,1.1793374773918128,2,4,3,5,5,9,0.5555555555555556
headroom_area_pos,pos,174.30106005170245,2,4,3,5,5,9,0.5555555555555556
max_corr_dew_change,neg,0.9438361880625198,2,4,3,5,5,9,0.5555555555555556
slope_dAH_per_h,pos,0.0075423201753844,2,4,3,5,5,9,0.5555555555555556
vpd_in_mean,neg,0.6684373897175795,2,4,3,5,5,9,0.5555555555555556
late_ah_resp_ratio,pos,0.0,4,4,0,4,4,8,0.5
max_corr_dAH_change,neg,0.94504198633786,2,4,2,4,4,8,0.5
max_corr_outRH_inRH_change,pos,0.8310859565863982,2,4,2,4,4,8,0.5
ah_ingress_r2,pos,0.4545106189075053,2,4,1,2,3,6,0.5
ah_ingress_slope,pos,0.0792377271033177,2,4,1,2,3,6,0.5
dew_ingress_r2,neg,0.4353772913061915,2,4,1,2,3,6,0.5
dew_ingress_slope,pos,0.1029210912153517,2,4,1,2,3,6,0.5
ah_gap_q90,neg,4.304762034943566,2,4,2,5,4,9,0.4444444444444444
best_lag_level_ah,pos,1.5,2,4,2,5,4,9,0.4444444444444444
best_lag_level_dew,pos,1.5,2,4,2,5,4,9,0.4444444444444444
corr_out_AH_in_AH,neg,0.8781904654561287,2,4,2,5,4,9,0.4444444444444444
mean_dT,pos,0.1185874532859707,2,4,2,5,4,9,0.4444444444444444
positive_drive_ratio,neg,0.90625,2,4,2,5,4,9,0.4444444444444444
vpd_gap_mean,pos,-0.5703645057142162,2,4,2,5,4,9,0.4444444444444444
early_dew_gain_per_out,pos,1.0845531334876746,2,3,1,5,3,8,0.375
gain_ratio_dAH_change,pos,0.5308841025096613,2,4,1,4,3,8,0.375
amp_in_hum_p90_p10,pos,3.815999999999999,2,4,1,5,3,9,0.3333333333333333
dew_gap_mean,neg,6.48097155997352,2,4,1,5,3,9,0.3333333333333333
dew_gap_q90,neg,6.818871898485342,2,4,1,5,3,9,0.3333333333333333
late_ah_decay_per_headroom,pos,-0.0032582082658985,2,4,1,5,3,9,0.3333333333333333
late_minus_early_vpd_gap,pos,0.0581276778525743,2,4,1,5,3,9,0.3333333333333333
mean_dAH,pos,-4.082382879162086,2,4,1,5,3,9,0.3333333333333333
slope_in_h_per_h,pos,0.0896896150881982,2,4,1,5,3,9,0.3333333333333333
std_in_hum_run,pos,1.4024113630673742,2,4,1,5,3,9,0.3333333333333333
ah_pos_gain_per_area,neg,0.0024025196189106,2,4,0,2,2,6,0.3333333333333333
dew_pos_gain_per_area,neg,0.0031229290078864,2,4,0,2,2,6,0.3333333333333333
late_dew_gain_per_out,neg,0.8297771980742539,2,3,0,4,2,7,0.2857142857142857
amp_AH_in_p90_p10,pos,0.9475168870769384,2,4,0,5,2,9,0.2222222222222222
amp_dew_in_p90_p10,pos,1.706191848456438,2,4,0,5,2,9,0.2222222222222222
amp_headroom_p90_p10,pos,0.4604356155018738,2,4,0,5,2,9,0.2222222222222222
std_AH_in_run,pos,0.3484236252418496,2,4,0,5,2,9,0.2222222222222222
std_dew_in_run,pos,0.6290649216074695,2,4,0,5,2,9,0.2222222222222222
late_minus_early_dew_gain,neg,-0.3411921604036433,1,2,0,4,1,6,0.16666666666666666
