file,sheet,analysis_group,expected_family,seal_label,heat_source_inferred,static_candidate,duration_h,mean_out_h,mean_dT,mean_dAH,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,candidate_high_info_ratio,heat_related_ratio,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h
2026-03-02 105925,Serial Data Log,current_other,unknown,unknown,,False,4.467777777777778,54.98550185873606,-0.8925650557620819,0.12594465456725412,4.534053620784974,0.1257555607426205,1.9552015302377186,0.0,0.0,,,,,
2026-03-02 161335_seal_unheated,Serial Data Log,current_static_seal,ext_high_hum_no_heat,seal,无,True,17.473333333333333,80.90816015252622,-0.6948999046711154,-4.2121693117821835,-1.1368899309341955,-0.30387473870645554,-0.1423855639090564,1.0,0.0,0.9579009734631695,0.0,0.41766653523253455,-0.6796397671673594,0.0
2026-03-03 101220_seal_heated,Serial Data Log,current_heat_related,ext_high_hum_with_heat,seal,有,False,6.623611111111111,83.85821608040199,5.712236180904523,-1.2901097141850908,-1.4775879396985019,1.4338823010216555,-0.48254120987840876,0.0,0.0,,,,,
2026-03-03 181049_unseal_unheated,Serial Data Log,current_static_unseal,ext_high_hum_no_heat,unseal,无,True,15.206944444444444,88.56181818181818,0.4385432639649507,-3.9811571374704875,0.6159506123075715,-0.33986932930831726,0.0907935507991311,0.8,0.2,-0.5472368127867813,5.0,0.17701507095625685,0.9855582530539032,0.0
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,Serial Data Log,current_transition,transition_run,unseal,无,False,45.323055555555555,92.5968409425626,0.010342415316642128,-4.188053471574718,1.993519882179676,0.14840026940992423,0.09040531056397628,1.0,0.0,0.6706088393955838,2.0,0.4100999690990388,0.9584856215667791,4.0
2026-03-04 120007_seal_unheated,Serial Data Log,current_other,unknown,seal,无,False,4.620555555555556,89.34043321299639,0.2018772563176896,-4.227190622869297,0.4279699718486114,-0.36448137186541363,0.19316039312292704,0.0,0.0,,,,,
2026-03-04 163909_unseal_unheated,Serial Data Log,current_static_unseal,unknown,unseal,无,True,40.776944444444446,92.97087045361666,-0.01140988966080916,-4.18294670580748,1.5991044068213256,0.14874522888313102,0.07952363790591879,1.0,0.0,0.9611906964733717,1.0,0.4826478918834303,0.9070084542008683,0.0
2026-03-06 160246_seal_unheated,Serial Data Log,current_static_seal,ext_high_hum_no_heat,seal,无,True,42.303333333333335,88.45334777471444,0.3872784560850729,-4.690079421753389,2.2647777591630813,0.32888419194442076,0.11234316999522387,1.0,0.0,0.7246604476789771,1.0,0.3027590808755177,0.864566411015004,0.0
2026-03-08 172014_seal_unheated,Serial Data Log,current_transition,transition_run,seal,无,False,112.62916666666666,95.30633857100504,0.2551037651941892,-4.4891864666245835,5.006388971242217,0.24736304733624603,0.08361688701759666,1.0,0.0,0.9041764426146457,1.0,0.6235567215945915,0.35260177950143207,0.0
2026-03-13 080032_unseal_heated,Serial Data Log,current_heat_related,ext_high_hum_with_heat,unseal,有,False,33.04611111111111,88.83113074204948,6.442917718324079,-0.32147617383483157,-0.8958277222273097,1.6016811893408767,-0.06037613973322955,0.0,0.8695652173913043,0.9241618231320633,0.0,1.6880330798698056,0.4211960197561182,0.0
2026-03-14 174006_unseal_heated,Serial Data Log,current_heat_related,ext_high_hum_with_heat,unseal,有,False,69.33638888888889,84.18518037518037,6.70997594997595,0.6833105821886747,0.35319384319384284,0.6071350383746259,0.012447205810589949,0.0,1.0,0.454596621269043,4.0,0.8218716888035796,0.6919454156938128,2.0
2026-03-17 180258_seal_heated,Serial Data Log,current_heat_related,unknown,seal,有,False,15.070555555555556,88.3203752759382,8.653774834437085,1.7139860689409516,-0.4378807947019965,2.888613348385461,-0.06589383936899067,0.0,1.0,0.9605475427768633,6.0,0.7093544401879149,-0.02719716478065143,5.0
2026-03-21 170450_unseal_heated,Serial Data Log,current_heat_related,unknown,unseal,有,False,46.715555555555554,93.2084327026062,0.8235094609068189,-3.788425700719182,1.5523753033547507,-0.9736021968264597,0.0735276290254825,0.8055555555555556,0.19444444444444445,0.7811283074331817,6.0,0.546581144420326,0.5560886211521305,0.0
2026-03-22 150919_unseal_unheated,Serial Data Log,current_static_unseal,unknown,unseal,无,True,26.440555555555555,94.85357277882798,-0.04533711405166999,-4.2777347577679485,0.6536850305411548,0.0783985662827904,0.04916563658805435,1.0,0.0,0.9858376575271109,1.0,0.5419414824987419,-0.28176945855750396,6.0
2026-03-23 213435_seal_unheated,Serial Data Log,current_static_seal,unknown,seal,无,True,19.304444444444446,94.66903364969802,-0.03685073339085451,-3.7439638379875637,1.736867309868387,-0.10188926001889431,0.17381408301512738,1.0,0.0,-0.20779659092523012,2.0,0.7289469571758896,-0.7093263799169205,2.0
