file,sheet,expected_family,expected_candidates,seal_label,heat_source_inferred,initial_state,ext_humidity_level,in_humidity_level,heat_source,hole_time,status,n_points,n_windows,duration_h,mean_out_h,mean_dT,mean_dAH,mean_dH,delta_end_in_h,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,dominant_label,dominant_ratio,expected_match_ratio,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,near_transition_windows,near_transition_mean_score,near_transition_median_rank_pct,non_near_transition_mean_score,count_低信息工况,ratio_低信息工况,count_外部高湿驱动工况,ratio_外部高湿驱动工况,count_热源稳定工况,ratio_热源稳定工况,count_热源启动窗口,ratio_热源启动窗口,count_冷却窗口,ratio_冷却窗口,count_内部积湿状态切换窗口,ratio_内部积湿状态切换窗口,count_内部积湿工况,ratio_内部积湿工况,count_复杂耦合工况,ratio_复杂耦合工况
2026-03-02 161335_seal_unheated,Serial Data Log,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,seal,无,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,ok,1049.0,7.0,17.473333333333333,80.90816015252622,-0.6948999046711154,-4.2121693117821835,-24.139933269780748,-2.8699999999999974,-1.1368899309341955,-0.30387473870645554,-0.1423855639090564,-0.045348496730809075,-4.453225531235083,外部高湿驱动工况,1.0,1.0,1.0,0.0,0.0,0,,,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03 181049_unseal_unheated,Serial Data Log,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,unseal,无,非密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,ok,913.0,5.0,15.206944444444444,88.56181818181818,0.4385432639649507,-3.9811571374704875,-31.052935377875137,2.3400000000000034,0.6159506123075715,-0.33986932930831726,0.0907935507991311,-0.06265016696099389,-3.8953505362475385,外部高湿驱动工况,0.8,0.8,0.8,0.2,0.0,0,,,0.0,0.0,0.0,4.0,0.8,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06 160246_seal_unheated,Serial Data Log,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,seal,无,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,ok,2539.0,32.0,42.303333333333335,88.45334777471444,0.3872784560850729,-4.690079421753389,-38.53826703426545,6.020000000000003,2.2647777591630813,0.32888419194442076,0.11234316999522387,0.016538736586311095,-2.473507676087391,外部高湿驱动工况,1.0,1.0,1.0,0.0,0.0,0,,,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03 101220_seal_heated,Serial Data Log,ext_high_hum_with_heat,热源启动窗口|热源稳定工况|冷却窗口|复杂耦合工况,seal,有,密封状态，外部湿度高，内部湿度低，有热源,高,低,有,,ok,398.0,0.0,6.623611111111111,83.85821608040199,5.712236180904523,-1.2901097141850908,-28.653894472361785,-2.030000000000001,-1.4775879396985019,1.4338823010216555,-0.48254120987840876,0.4300663942508016,4.376416030784091,,,,,,,0,,,,,,,,,,,,,,,,,,,
2026-03-13 080032_unseal_heated,Serial Data Log,ext_high_hum_with_heat,热源启动窗口|热源稳定工况|冷却窗口|复杂耦合工况,unseal,有,非密封状态，外部湿度高，内部湿度低，有热源,高,低,有,,ok,1981.0,23.0,33.04611111111111,88.83113074204948,6.442917718324079,-0.32147617383483157,-29.273997980817782,-0.6400000000000006,-0.8958277222273097,1.6016811893408767,-0.06037613973322955,0.10710487043396144,4.81836971653283,热源稳定工况,0.5652173913043478,1.0,0.0,0.8695652173913043,0.0,0,,,0.0,0.0,0.0,0.0,0.0,13.0,0.5652173913043478,7.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.13043478260869565
2026-03-14 174006_unseal_heated,Serial Data Log,ext_high_hum_with_heat,热源启动窗口|热源稳定工况|冷却窗口|复杂耦合工况,unseal,有,非密封状态，外部湿度高，内部湿度低，有热源,高,低,有,,ok,4158.0,60.0,69.33638888888889,84.18518037518037,6.70997594997595,0.6833105821886747,-23.90503848003847,1.5,0.35319384319384284,0.6071350383746259,0.012447205810589949,0.017908557675101307,0.48361667231953476,热源稳定工况,1.0,1.0,0.0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,Serial Data Log,transition_run,内部积湿状态切换窗口|外部高湿驱动工况,unseal,无,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,2026-03-04 16:39:09,ok,2716.0,35.0,45.323055555555555,92.5968409425626,0.010342415316642128,-4.188053471574718,-34.35921207658321,4.909999999999997,1.993519882179676,0.14840026940992423,0.09040531056397628,0.0069100611547519945,-0.4686239009010391,外部高湿驱动工况,1.0,1.0,1.0,0.0,0.0,5,1.5341746726887489,0.9428571428571428,0.290629369788305,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08 172014_seal_unheated,Serial Data Log,transition_run,内部积湿状态切换窗口|外部高湿驱动工况,seal,无,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,2026-03-10 10:00:00,ok,6746.0,102.0,112.62916666666666,95.30633857100504,0.2551037651941892,-4.4891864666245835,-39.84255410613697,8.309999999999995,5.006388971242217,0.24736304733624603,0.08361688701759666,0.003903607007767826,0.44145964106599767,外部高湿驱动工况,1.0,1.0,1.0,0.0,0.0,13,0.6265600050702892,0.8627450980392157,0.26282574188818025,0.0,0.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02 105925,Serial Data Log,unknown,,unknown,,,,,,,ok,269.0,0.0,4.467777777777778,54.98550185873606,-0.8925650557620819,0.12594465456725412,3.8827137546468435,12.050000000000004,4.534053620784974,0.1257555607426205,1.9552015302377186,0.03688019086776182,-1.7564246153394425,,,,,,,0,,,,,,,,,,,,,,,,,,,
2026-03-04 120007_seal_unheated,Serial Data Log,unknown,,seal,无,,,,,,ok,277.0,0.0,4.620555555555556,89.34043321299639,0.2018772563176896,-4.227190622869297,-33.51350180505415,1.0499999999999972,0.4279699718486114,-0.36448137186541363,0.19316039312292704,-0.1619824584585882,-0.9119370178996826,,,,,,,0,,,,,,,,,,,,,,,,,,,
