feature,importance
slope_out_hum,0.15757352
std_out_hum,0.13366796
mean_in_hum,0.11663371
std_in_hum,0.08308733
std_AH_out,0.0700079
mean_in_temp,0.05335781
mean_out_temp,0.04627933
delta_half_in_hum,0.04056072
mean_AH_in,0.03685667
slope_in_hum,0.030332794
std_AH_in,0.029846214
slope_dAH,0.022068573
max_hourly_hum_rise,0.021060592
corr_hum,0.019606955
slope_dT,0.019381369
std_dAH,0.016352693
delta_AH_in,0.015702741
mean_dT,0.015125231
mean_dAH,0.01350161
mean_out_hum,0.011228093
delta_in_hum,0.01009388
std_dT,0.008164194
corr_AH,0.007910782
max_hourly_temp_rise,0.0047610966
delta_half_dAH,0.0036018
std_out_temp,0.0033110958
delta_half_dT,0.0029381998
delta_half_AH_in,0.0027434484
mean_AH_out,0.002563155
corr_temp,0.0011969908
slope_out_temp,0.00048349696
slope_in_temp,0.0
delta_half_in_temp,0.0
delta_in_temp,0.0
std_in_temp,0.0
slope_AH_out,0.0
high_out_hum_ratio,0.0
slope_AH_in,0.0
max_hourly_temp_drop,0.0
