file,sheet,expected_family,seal_label,dominant_route_role,primary_segment_id,primary_evidence,final_status,risk_level,needs_review,predicted_label,true_label,notes
2026-03-02 161335_seal_unheated,Serial Data Log,ext_high_hum_no_heat,seal,static_memory_candidate,S001,similarity_branch,static_abstain_low_signal,abstain,False,,0.0,threshold branch abstained | similarity_pred=0
2026-03-03 181049_unseal_unheated,Serial Data Log,ext_high_hum_no_heat,unseal,static_memory_candidate,S002,threshold+similarity,static_low_risk,low,False,0.0,1.0,threshold_pred=0 | similarity_pred=0
2026-03-06 160246_seal_unheated,Serial Data Log,ext_high_hum_no_heat,seal,static_threshold_favored,S001,similarity_branch,static_disagreement_watch,watch,True,1.0,0.0,threshold_pred=0 | similarity_pred=1
2026-03-03 101220_seal_heated,Serial Data Log,ext_high_hum_with_heat,seal,,,gate_only,gated_background,abstain,False,,0.0,no routed evidence branch
2026-03-13 080032_unseal_heated,Serial Data Log,ext_high_hum_with_heat,unseal,reject_heat_related,,gate_only,gated_heat_related,abstain,False,,1.0,heat-related windows dominate
2026-03-14 174006_unseal_heated,Serial Data Log,ext_high_hum_with_heat,unseal,reject_heat_related,,gate_only,gated_heat_related,abstain,False,,1.0,heat-related windows dominate
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,Serial Data Log,transition_run,unseal,transition_context,S001,transition_branch,transition_alert,high,True,1.0,1.0,transition evidence passed
2026-03-08 172014_seal_unheated,Serial Data Log,transition_run,seal,transition_context,S002,transition_branch,transition_alert,high,True,1.0,0.0,transition evidence passed
2026-03-02 105925,Serial Data Log,unknown,unknown,,,gate_only,gated_background,abstain,False,,,no routed evidence branch
2026-03-04 120007_seal_unheated,Serial Data Log,unknown,seal,,,gate_only,gated_background,abstain,False,,0.0,no routed evidence branch
2026-03-04 163909_unseal_unheated,Serial Data Log,unknown,unseal,static_threshold_favored,S001,threshold+similarity,static_consensus_alert,high,True,1.0,1.0,threshold_pred=1 | similarity_pred=1
2026-03-17 180258_seal_heated,Serial Data Log,unknown,seal,reject_heat_related,,gate_only,gated_heat_related,abstain,False,,0.0,heat-related windows dominate
2026-03-21 170450_unseal_heated,Serial Data Log,unknown,unseal,background_high_hum,,gate_only,gated_background,abstain,False,,1.0,no routed evidence branch
2026-03-22 150919_unseal_unheated,Serial Data Log,unknown,unseal,static_threshold_favored,S002,threshold+similarity,static_consensus_alert,high,True,1.0,1.0,threshold_pred=1 | similarity_pred=1
2026-03-23 212849_seal_unheated,,unknown,seal,,,gate_only,gated_background,abstain,False,,0.0,no routed evidence branch
2026-03-23 213435_seal_unheated,Serial Data Log,unknown,seal,static_memory_candidate,S003,threshold+similarity,static_low_risk,low,False,0.0,0.0,threshold_pred=0 | similarity_pred=0
