file,n_windows,dominant_label,dominant_ratio,expected_family,initial_state,heat_source,ext_humidity_level,in_humidity_level,hole_time,near_transition_windows,near_transition_transition_label_ratio,expected_match_ratio,count_低信息工况,ratio_低信息工况,count_外部高湿驱动工况,ratio_外部高湿驱动工况,count_热源稳定工况,ratio_热源稳定工况,count_热源启动窗口,ratio_热源启动窗口,count_冷却窗口,ratio_冷却窗口,count_内部积湿状态切换窗口,ratio_内部积湿状态切换窗口,count_内部积湿工况,ratio_内部积湿工况,count_复杂耦合工况,ratio_复杂耦合工况
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,110,复杂耦合工况,0.7090909090909091,unknown,,,,,,0,,,32,0.2909090909090909,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,78,0.7090909090909091
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,86,内部积湿工况,0.9767441860465116,unknown,,,,,,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,84,0.9767441860465116,2,0.023255813953488372
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,90,内部积湿工况,1.0,unknown,,,,,,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,90,1.0,0,0.0
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,103,复杂耦合工况,0.7281553398058253,unknown,,,,,,0,,,28,0.27184466019417475,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,0.7281553398058253
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,38,复杂耦合工况,0.8157894736842105,unknown,,,,,,0,,,7,0.18421052631578946,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31,0.8157894736842105
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,29,热源稳定工况,0.5862068965517241,unknown,,,,,,0,,,0,0.0,0,0.0,17,0.5862068965517241,11,0.3793103448275862,0,0.0,0,0.0,0,0.0,1,0.034482758620689655
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,63,热源稳定工况,0.9523809523809523,unknown,,,,,,0,,,0,0.0,0,0.0,60,0.9523809523809523,2,0.031746031746031744,0,0.0,0,0.0,0,0.0,1,0.015873015873015872
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,17,冷却窗口,0.7647058823529411,unknown,,,,,,0,,,0,0.0,0,0.0,0,0.0,3,0.17647058823529413,13,0.7647058823529411,0,0.0,0,0.0,1,0.058823529411764705
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,7,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,5,外部高湿驱动工况,0.8,unknown,,,,,,0,,,0,0.0,4,0.8,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,35,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,35,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,32,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,32,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,102,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,102,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,23,热源稳定工况,0.5652173913043478,unknown,,,,,,0,,,0,0.0,0,0.0,13,0.5652173913043478,7,0.30434782608695654,0,0.0,0,0.0,0,0.0,3,0.13043478260869565
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,60,热源稳定工况,1.0,unknown,,,,,,0,,,0,0.0,0,0.0,60,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,5,热源启动窗口,1.0,unknown,,,,,,0,,,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,38,外部高湿驱动工况,0.8157894736842105,unknown,,,,,,0,,,0,0.0,31,0.8157894736842105,0,0.0,0,0.0,7,0.18421052631578946,0,0.0,0,0.0,0,0.0
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,55,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,55,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
