device_id,start_date,seal_state_cn,ext_level_cn,in_level_cn,heat_state_cn,change_flag_cn,change_time,changed_state_cn,file_name,file,seal_state,ext_level,in_level,heat_state,change_type,change_ts,initial_role,post_role
120165518,20260308,密封,均衡,均衡,不加,不改变,无,无,120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na.xlsx,120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,sealed,eq,eq,heat_off,no_change,,balanced_control,balanced_control
120165520,20260310,密封,均衡,均衡,加,改变,2026-03-13 10:02:00,不密封,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed.xlsx,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,sealed,eq,eq,heat_on,seal_change_to_unsealed,2026-03-13 10:02:00,balanced_control,balanced_control
120165520,20260315,非密封,均衡,均衡,不加,不改变,无,无,120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na.xlsx,120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,unsealed,eq,eq,heat_off,no_change,,balanced_control,balanced_control
120165520,20260318,密封,均衡,均衡,不加,改变,2026-03-18 09:03:00,加热,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat.xlsx,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,sealed,eq,eq,heat_off,heat_on,2026-03-18 09:03:00,balanced_control,balanced_control
120165520,20260318,密封,均衡,均衡,加,改变,2026-03-19 15:20:00,不密封,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed.xlsx,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,sealed,eq,eq,heat_on,seal_change_to_unsealed,2026-03-19 15:20:00,balanced_control,balanced_control
120165520,20260324,密封,均衡,均衡,加,改变,2026-03-24 22:07:00,不加热,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat.xlsx,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,sealed,eq,eq,heat_on,heat_off,2026-03-24 22:07:00,balanced_control,balanced_control
120165524,20260303,密封,高,低,加,不改变,无,无,120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na.xlsx,120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na,sealed,high,low,heat_on,no_change,,highhum_heated,highhum_heated
120165524,20260314,非密封,高,低,加,不改变,无,无,120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na.xlsx,120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,unsealed,high,low,heat_on,no_change,,highhum_heated,highhum_heated
120165524,20260321,非密封,高,低,加,改变,2026-03-21 18:00:00,不加热,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat.xlsx,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,unsealed,high,low,heat_on,heat_off,2026-03-21 18:00:00,highhum_heated,mainfield_extHigh_intLow_noHeat
120165519,20260309,密封,低,高,不加,改变,2026-03-10 10:00:00,不密封,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed.xlsx,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,sealed,low,high,heat_off,seal_change_to_unsealed,2026-03-10 10:00:00,internal_moisture_control,internal_moisture_control
120165519,20260313,密封,低,高,加,改变,2026-03-15 15:00:00,不密封,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed.xlsx,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,sealed,low,high,heat_on,seal_change_to_unsealed,2026-03-15 15:00:00,internal_moisture_control,internal_moisture_control
120165524,20260302,密封,高,低,不加,不改变,无,无,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na.xlsx,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,sealed,high,low,heat_off,no_change,,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat
120165524,20260303,非密封,高,低,不加,不改变,无,无,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na.xlsx,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,unsealed,high,low,heat_off,no_change,,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat
120165524,20260304,密封,高,低,不加,改变,2026-03-04 16:39:00,不密封,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed.xlsx,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,sealed,high,low,heat_off,seal_change_to_unsealed,2026-03-04 16:39:00,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat
120165524,20260306,密封,高,低,不加,不改变,无,无,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na.xlsx,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,sealed,high,low,heat_off,no_change,,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat
120165524,20260308,密封,高,低,不加,改变,2026-03-10 10:00:00,不密封,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed.xlsx,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,sealed,high,low,heat_off,seal_change_to_unsealed,2026-03-10 10:00:00,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat
