file,sheet,status,device_id,seal_state,ext_level,in_level,heat_state,change_type,change_ts,initial_role,post_role,start_ts,end_ts,duration_h,change_in_range,pre_hours,post_hours,n_points,n_windows,dominant_label,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,internal_moisture_ratio,complex_ratio,window_label_counts,mean_out_h,mean_dT,mean_dAH,mean_dH,delta_end_in_h,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,202603131000,ok,120165518,sealed,eq,eq,heat_off,no_change,,balanced_control,balanced_control,2026-03-08 10:44:41,2026-03-13 10:00:43,119.26722222222222,False,,,6467,110,复杂耦合工况,0.0,0.0,0.2909090909090909,0.0,0.7090909090909091,"{""低信息工况"": 32, ""复杂耦合工况"": 78}",55.264518323797745,-0.6419730941704035,-0.2851540300518206,-0.5132859130972705,13.190000000000005,4.932583624232251,0.05324516427764803,0.08851085629525772,0.002333099100239584,-0.4733227794452901,0.8032035803276069,1.0,0.7511701488500914,0.4047271438266682,0.0
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,2026-03-15 171747,ok,120165520,sealed,eq,eq,heat_on,seal_change_to_unsealed,2026-03-13 10:02:00,balanced_control,balanced_control,2026-03-10 17:00:38,2026-03-15 10:03:07,113.04138888888889,True,65.02277777777778,48.01861111111111,6340,103,复杂耦合工况,0.0,0.0,0.27184466019417475,0.0,0.7281553398058253,"{""复杂耦合工况"": 75, ""低信息工况"": 28}",47.693616719242904,1.4975252365930602,1.6975991349615085,8.345869085173497,7.07,1.640965299684538,0.2510410731591657,0.029645036653637782,0.002330763744471156,0.7337557675372768,0.5155523056517448,2.0,0.8279119495522845,0.5053725698307744,2.0
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,2026-03-17 153539,ok,120165520,unsealed,eq,eq,heat_off,no_change,,balanced_control,balanced_control,2026-03-15 14:00:01,2026-03-17 14:59:59,48.99944444444444,False,,,2749,38,复杂耦合工况,0.0,0.0,0.18421052631578946,0.0,0.8157894736842105,"{""复杂耦合工况"": 31, ""低信息工况"": 7}",57.48345943979629,-0.7133212077118952,-0.013315032418560416,2.435107311749732,4.509999999999998,1.8493428662167588,-0.03425783851716787,0.08228595011536556,-0.004721306828045468,-1.2966097301528885,0.9113033558761432,1.0,0.6623478519404324,0.9093824981289382,1.0
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,2026-03-21 104937,ok,120165520,sealed,eq,eq,heat_off,heat_on,2026-03-18 09:03:00,balanced_control,balanced_control,2026-03-18 00:00:55,2026-03-19 15:00:18,38.98972222222222,True,9.034722222222221,29.955,2191,29,热源稳定工况,0.0,0.9655172413793104,0.0,0.0,0.034482758620689655,"{""热源启动窗口"": 11, ""复杂耦合工况"": 1, ""热源稳定工况"": 17}",56.779068918302144,20.414340483797357,8.223092764665958,-18.362957553628483,-39.379999999999995,-23.22298622637736,1.9814730136664656,-1.2085605049817103,0.17212030794754624,6.594206692325498,0.5629668287496955,0.0,12.844717522302336,0.7642672624892672,0.0
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,2026-03-21 104937,ok,120165520,sealed,eq,eq,heat_on,seal_change_to_unsealed,2026-03-19 15:20:00,balanced_control,balanced_control,2026-03-18 09:03:58,2026-03-21 10:45:40,73.695,True,30.267222222222223,43.42777777777778,4134,63,热源稳定工况,0.0,0.9841269841269841,0.0,0.0,0.015873015873015872,"{""热源启动窗口"": 2, ""复杂耦合工况"": 1, ""热源稳定工况"": 60}",53.17173197871311,27.10187227866473,6.939204107328814,-29.49877842283503,-45.17,-11.381001451378808,-5.687687964272607,-0.32389078005227057,-0.1536891764278716,3.471859052775109,0.3765456710311938,2.0,2.2666287592040226,0.6409545568168902,0.0
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,2026-03-26 100440,ok,120165520,sealed,eq,eq,heat_on,heat_off,2026-03-24 22:07:00,balanced_control,balanced_control,2026-03-24 08:00:48,2026-03-25 11:49:15,27.8075,True,14.103333333333333,13.704166666666667,1560,17,冷却窗口,0.0,0.9411764705882353,0.0,0.0,0.058823529411764705,"{""热源启动窗口"": 3, ""复杂耦合工况"": 1, ""冷却窗口"": 13}",53.29759615384615,13.061467948717949,1.1291430265655042,-26.6353782051282,-2.3500000000000014,5.251333333333328,-6.933136169704366,0.2568276307801368,-0.3680866550533397,-0.14232699835082752,0.5871916427462095,6.0,4.669507163973699,0.6848505568675982,6.0
120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na,Serial Data Log,ok,120165524,sealed,high,low,heat_on,no_change,,highhum_heated,highhum_heated,2026-03-03 10:13:15,2026-03-03 16:50:40,6.623611111111111,False,,,398,0,,,,,,,{},83.85821608040199,5.712236180904523,-1.2901097141850908,-28.653894472361785,-2.030000000000001,-1.4775879396985019,1.4338823010216555,-0.4825412098784019,0.43006639425080156,4.376416030784091,,,,,
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,Serial Data Log,ok,120165524,unsealed,high,low,heat_on,no_change,,highhum_heated,highhum_heated,2026-03-14 17:41:31,2026-03-17 15:01:42,69.33638888888889,False,,,4158,60,热源稳定工况,0.0,1.0,0.0,0.0,0.0,"{""热源稳定工况"": 60}",84.18518037518037,6.70997594997595,0.6833105821886747,-23.90503848003847,1.5,0.35319384319384284,0.6071350383746259,0.012447205810595177,0.017908557675101307,0.48361667231953476,0.454596621269043,4.0,0.8218716888035796,0.6919454156938132,2.0
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,Serial Data Log,ok,120165524,unsealed,high,low,heat_on,heat_off,2026-03-21 18:00:00,highhum_heated,mainfield_extHigh_intLow_noHeat,2026-03-21 17:05:29,2026-03-23 17:36:29,48.516666666666666,True,0.9086111111111111,47.60805555555555,2909,38,外部高湿驱动工况,0.8157894736842105,0.18421052631578946,0.0,0.0,0.0,"{""冷却窗口"": 7, ""外部高湿驱动工况"": 31}",93.29184599518734,0.7880027500859401,-3.808539595464611,-29.620144379511864,6.059999999999995,1.5810027983002257,-0.9394742992908478,0.07195621611964667,-0.048031657369134756,-8.280737281684454,0.7858833381319926,6.0,0.5483750615282511,0.5573763631570577,0.0
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,202603131001,ok,120165519,sealed,low,high,heat_off,seal_change_to_unsealed,2026-03-10 10:00:00,internal_moisture_control,internal_moisture_control,2026-03-09 10:22:55,2026-03-13 10:00:04,95.61916666666667,True,23.618055555555557,72.00111111111111,5202,86,内部积湿工况,0.0,0.0,0.0,0.9767441860465116,0.023255813953488372,"{""复杂耦合工况"": 2, ""内部积湿工况"": 84}",49.546376393694736,-0.7103690888119955,4.008739735438264,37.59035178777393,37.03000000000001,4.592756632064592,0.25545689278245476,0.11057563390826468,0.01019119015709002,4.141420483315058,0.30191653936679586,2.0,1.0382602370007283,-0.09702534225923778,0.0
