feature,group,auc,direction,sealed_median,unsealed_median
amp_in_hum_p90_p10,amplitude_dispersion,1.0,pos,1.4619999999999997,5.072000000000003
corr_headroom_in_hum,coupling_lag,1.0,neg,-0.19116426564428654,-0.916020728825381
delta_half_dAH,legacy_static,1.0,pos,-0.19041303141506916,0.2215958694453386
delta_half_in_h,legacy_static,1.0,pos,-0.31504542982154504,3.1603951718045096
duration_h,legacy_static,1.0,pos,29.05027777777778,53.38583333333333
end_start_dAH,legacy_static,1.0,pos,-2.231978644859113,0.44844350648961573
late_minus_early_rh_gain,response_persistence,1.0,pos,-0.105318731794598,2.916660784295348
late_rh_gain_per_out,response_persistence,1.0,pos,0.20859977800652962,4.555696202531986
max_corr_outRH_inRH_change,coupling_lag,1.0,pos,-0.0516166976558608,0.7561789094099997
slope_dAH_per_h,legacy_static,1.0,pos,-0.023703469072557843,0.009061957242461898
slope_in_h_per_h,legacy_static,1.0,pos,-0.05863015516322716,0.0885856793772571
std_in_hum_run,amplitude_dispersion,1.0,pos,0.5548232121270599,1.859859648887262
best_lag_h,coupling_lag,0.8333333333333334,pos,0.5,1.0
best_lag_level_ah,coupling_lag,0.8333333333333334,pos,0.5,1.0
best_lag_level_hum,coupling_lag,0.8333333333333334,neg,3.5,0.0
early_rh_gain_per_out,response_persistence,0.8333333333333334,pos,0.3139185098011276,1.6390354182366382
gain_ratio_dAH_change,coupling_lag,0.8333333333333334,pos,0.4796925043250684,0.5790646134433108
headroom_gain_ratio,response_persistence,0.8333333333333334,pos,-0.010397870866402694,0.0032519237533467455
mean_dAH,legacy_static,0.8333333333333334,pos,-4.413694142014737,-4.1836086208536845
positive_ah_response_ratio,response_persistence,0.8333333333333334,pos,0.32573529411764707,0.746031746031746
early_resp_ratio,response_persistence,0.75,pos,0.5,1.0
late_resp_ratio,response_persistence,0.75,pos,0.5,1.0
positive_response_ratio,response_persistence,0.75,pos,0.5,1.0
amp_headroom_p90_p10,amplitude_dispersion,0.6666666666666666,pos,0.2825485806996053,0.35878576762493974
corr_headroom_AH_in,coupling_lag,0.6666666666666666,neg,0.2870399940056301,-0.8476638955512444
early_ah_resp_ratio,response_persistence,0.6666666666666666,pos,0.8,1.0
headroom_area_pos,response_persistence,0.6666666666666666,pos,128.32966638889337,177.0877999931516
late_ah_decay_per_headroom,response_persistence,0.6666666666666666,pos,-0.013959804300772717,-0.0029720564996772616
late_ah_resp_ratio,response_persistence,0.6666666666666666,pos,0.0,0.0
max_corr_dAH_change,coupling_lag,0.6666666666666666,neg,0.9656124772559015,0.96135249067962
max_corr_level_ah,coupling_lag,0.6666666666666666,neg,0.9241664079641472,0.9533354188565744
positive_drive_ratio,response_persistence,0.6666666666666666,neg,0.9600271002710027,0.875
best_lag_rh_h,coupling_lag,0.5833333333333334,neg,3.0,0.0
amp_AH_in_p90_p10,amplitude_dispersion,0.5,pos,1.1488506556016276,0.8470928707062146
corr_out_AH_in_AH,coupling_lag,0.5,pos,0.8986626588536473,0.9358607675431221
corr_out_hum_in_hum,coupling_lag,0.5,pos,0.03215826766457597,0.9908212391624115
late_minus_early_resp_ratio,response_persistence,0.5,pos,0.0,0.0
max_corr_level_hum,coupling_lag,0.5,pos,0.03409487855011745,0.9936248872887996
mean_dT,legacy_static,0.5,pos,-0.21409807759307722,-0.011410414104141049
positive_headroom_ratio,response_persistence,0.5,pos,1.0,1.0
std_AH_in_run,amplitude_dispersion,0.5,pos,0.4203926306741667,0.30732209902213775
