feature,group,auc,challenge_match,total_roles,weak_positive_toward_positive,breathing_watch_toward_positive,heatoff_confound_toward_positive
max_corr_level_ah,coupling_lag,0.6666666666666666,3,3,True,False,False
max_corr_level_dew,dew_vapor,0.6666666666666666,3,3,True,False,False
max_corr_level_hum,coupling_lag,0.5,3,3,True,False,False
ah_ingress_count,ingress_proxy,1.0,2,3,False,False,False
amp_in_hum_p90_p10,amplitude_dispersion,1.0,2,3,False,False,False
corr_headroom_in_hum,coupling_lag,1.0,2,3,False,False,False
delta_half_in_h,legacy_static,1.0,2,3,False,False,False
dew_ingress_count,ingress_proxy,1.0,2,3,False,False,False
duration_h,legacy_static,1.0,2,3,False,False,False
end_start_dAH,legacy_static,1.0,2,3,False,False,False
late_minus_early_rh_gain,response_persistence,1.0,2,3,False,False,False
late_rh_gain_per_out,response_persistence,1.0,2,3,False,False,False
max_corr_outRH_inRH_change,coupling_lag,1.0,2,3,True,True,False
slope_in_h_per_h,legacy_static,1.0,2,3,True,True,False
std_in_hum_run,amplitude_dispersion,1.0,2,3,False,False,False
vpd_in_mean,ingress_proxy,1.0,2,3,False,False,False
ah_neg_response_ratio,ingress_proxy,0.8333333333333334,2,3,False,False,False
best_lag_level_ah,coupling_lag,0.8333333333333334,2,3,True,False,True
best_lag_level_dew,dew_vapor,0.8333333333333334,2,3,True,False,True
best_lag_level_hum,coupling_lag,0.8333333333333334,2,3,True,True,False
dew_headroom_capture_ratio,dew_vapor,0.8333333333333334,2,3,False,False,False
dew_neg_response_ratio,ingress_proxy,0.8333333333333334,2,3,False,False,False
early_rh_gain_per_out,response_persistence,0.8333333333333334,2,3,False,False,False
headroom_gain_ratio,response_persistence,0.8333333333333334,2,3,False,False,False
mean_dAH,legacy_static,0.8333333333333334,2,3,True,False,True
positive_ah_response_ratio,response_persistence,0.8333333333333334,2,3,False,False,False
ah_gap_q90,ingress_proxy,0.6666666666666666,2,3,True,False,True
ah_ingress_slope,ingress_proxy,0.6666666666666666,2,3,True,False,True
corr_headroom_AH_in,coupling_lag,0.6666666666666666,2,3,True,False,True
dew_gap_mean,dew_vapor,0.6666666666666666,2,3,True,False,True
dew_gap_q90,dew_vapor,0.6666666666666666,2,3,True,False,True
early_ah_resp_ratio,response_persistence,0.6666666666666666,2,3,False,False,False
positive_drive_ratio,response_persistence,0.6666666666666666,2,3,False,False,False
vpd_gap_mean,ingress_proxy,0.6666666666666666,2,3,False,False,False
best_lag_rh_h,coupling_lag,0.5833333333333334,2,3,True,True,False
ah_pos_gain_per_area,ingress_proxy,0.5,2,3,False,False,False
corr_out_hum_in_hum,coupling_lag,0.5,2,3,False,False,False
dew_gap_pos_ratio,dew_vapor,0.5,2,3,True,True,False
positive_headroom_ratio,response_persistence,0.5,2,3,True,True,False
delta_half_dAH,legacy_static,1.0,1,3,False,True,False
dew_ingress_r2,ingress_proxy,1.0,1,3,False,True,False
early_dew_gain_per_out,dew_vapor,1.0,1,3,False,False,True
late_minus_early_vpd_gap,ingress_proxy,1.0,1,3,True,True,True
slope_dAH_per_h,legacy_static,1.0,1,3,False,True,False
best_lag_h,coupling_lag,0.8333333333333334,1,3,True,True,True
gain_ratio_dAH_change,coupling_lag,0.8333333333333334,1,3,False,False,True
early_resp_ratio,response_persistence,0.75,1,3,True,True,True
late_resp_ratio,response_persistence,0.75,1,3,True,True,True
positive_response_ratio,response_persistence,0.75,1,3,True,True,True
ah_ingress_r2,ingress_proxy,0.6666666666666666,1,3,False,True,False
amp_headroom_p90_p10,amplitude_dispersion,0.6666666666666666,1,3,True,True,True
best_lag_dew_h,dew_vapor,0.6666666666666666,1,3,True,True,True
corr_dew_gap_in_dew,dew_vapor,0.6666666666666666,1,3,False,False,True
dew_gap_area_pos,dew_vapor,0.6666666666666666,1,3,False,True,False
dew_pos_gain_per_area,ingress_proxy,0.6666666666666666,1,3,True,True,True
late_ah_decay_per_headroom,response_persistence,0.6666666666666666,1,3,False,False,True
late_ah_resp_ratio,response_persistence,0.6666666666666666,1,3,True,True,True
max_corr_dAH_change,coupling_lag,0.6666666666666666,1,3,True,True,True
max_corr_dew_change,dew_vapor,0.6666666666666666,1,3,True,True,True
amp_AH_in_p90_p10,amplitude_dispersion,0.5,1,3,True,True,True
amp_dew_in_p90_p10,dew_vapor,0.5,1,3,True,True,True
dew_ingress_slope,ingress_proxy,0.5,1,3,True,True,True
late_minus_early_resp_ratio,response_persistence,0.5,1,3,True,True,True
mean_dT,legacy_static,0.5,1,3,True,True,True
std_AH_in_run,amplitude_dispersion,0.5,1,3,True,True,True
std_dew_in_run,dew_vapor,0.5,1,3,True,True,True
ah_gap_area_pos,ingress_proxy,0.6666666666666666,0,3,False,True,True
headroom_area_pos,response_persistence,0.6666666666666666,0,3,False,True,True
corr_out_AH_in_AH,coupling_lag,0.5,0,3,False,True,True
corr_out_dew_in_dew,dew_vapor,0.5,0,3,False,True,True
