file,segment_name,segment_source,segment_start,segment_end,segment_hours,segment_analyzable,segment_role,segment_seal_state,segment_heat_state,segment_ext_level,duration_h,mean_out_h,mean_dT,mean_dAH,mean_dH,delta_end_in_h,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,segment_id,device_id,change_type,initial_role,post_role,change_ts,candidate_high_info_ratio,dominant_label,static_bucket,static_vote_count,static_vote_hits,static_recommended_use,static_rationale,transition_bucket,use_for_static_primary,use_for_static_eval_only,use_for_transition_context,use_for_control_challenge,primary_task,secondary_tasks
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,full,full_run,2026-03-08 10:44:41,2026-03-13 10:00:43,119.26722222222222,True,balanced_control,sealed,heat_off,eq,119.26722222222222,55.264518323797745,-0.6419730941704035,-0.2851540300518206,-0.5132859130972705,13.190000000000005,4.932583624232251,0.05324516427764803,0.08851085629525772,0.002333099100239584,-0.4733227794452901,120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na::full,120165518,no_change,balanced_control,balanced_control,,0.0,复杂耦合工况,,,,,,,False,False,False,True,control_challenge,
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,full,full_run,2026-03-15 14:00:01,2026-03-17 14:59:59,48.99944444444444,True,balanced_control,unsealed,heat_off,eq,48.99944444444444,57.48345943979629,-0.7133212077118952,-0.013315032418560416,2.435107311749732,4.509999999999998,1.8493428662167588,-0.03425783851716787,0.08228595011536556,-0.004721306828045468,-1.2966097301528885,120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na::full,120165520,no_change,balanced_control,balanced_control,,0.0,复杂耦合工况,,,,,,,False,False,False,True,control_challenge,
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,post_change,heat_on,2026-03-18 09:03:58,2026-03-19 15:00:18,29.93888888888889,True,balanced_control,sealed,heat_on,eq,29.93888888888889,55.565374554102256,26.69102853745541,10.707509916051157,-24.323638525564803,-40.18,-11.48092746730083,-4.6090317598198425,-0.8002538183708812,-0.26750987215343547,6.685437008831849,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat::post_change,120165520,heat_on,balanced_control,balanced_control,2026-03-18 09:03:00,0.0,热源稳定工况,,,,,,,False,False,False,True,control_challenge,
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,post_change,heat_off,2026-03-24 22:07:50,2026-03-25 11:49:15,13.690277777777778,True,balanced_control,sealed,heat_off,eq,13.690277777777778,55.86630548302872,4.195039164490861,-2.483339578101072,-26.421409921671014,11.810000000000002,4.0813315926892955,-2.0709015691452333,0.6395921280839634,-0.33693564079691585,-8.64674866536254,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat::post_change,120165520,heat_off,balanced_control,balanced_control,2026-03-24 22:07:00,0.0,冷却窗口,,,,,,,False,False,False,True,control_challenge,
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,pre_change,heat_off,2026-03-24 08:00:48,2026-03-24 22:06:46,14.099444444444444,True,balanced_control,sealed,heat_on,eq,14.099444444444444,50.81947103274559,21.61522670025189,4.6142332975662566,-26.841801007556672,-13.860000000000003,-5.454130982367754,2.419647172841535,-0.8699256675907407,0.4148181302202556,8.69316742368585,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat::pre_change,120165520,heat_off,balanced_control,balanced_control,2026-03-24 22:07:00,0.0,冷却窗口,,,,,,,False,False,False,True,control_challenge,
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,post_change,heat_on,2026-03-13 10:01:33,2026-03-14 17:03:18,31.029166666666665,True,highhum_heated,unsealed,heat_on,high,31.029166666666665,88.32373118279571,6.842182795698924,-0.0728048192978508,-28.78655913978495,-0.7899999999999991,-0.8556989247311719,1.1552296289338777,-0.06885177752645215,0.07816156131970022,4.798830578828161,120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat::post_change,120165524,heat_on,mainfield_extHigh_intLow_noHeat,highhum_heated,2026-03-13 10:01:00,0.0,热源稳定工况,,,,,,,False,False,False,True,control_challenge,
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,full,full_run,2026-03-14 17:41:31,2026-03-17 15:01:42,69.33638888888889,True,highhum_heated,unsealed,heat_on,high,69.33638888888889,84.18518037518037,6.70997594997595,0.6833105821886747,-23.90503848003847,1.5,0.35319384319384284,0.6071350383746259,0.012447205810595177,0.017908557675101307,0.48361667231953476,120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na::full,120165524,no_change,highhum_heated,highhum_heated,,0.0,热源稳定工况,,,,,,,False,False,False,True,control_challenge,
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,post_change,heat_on,2026-03-17 18:30:38,2026-03-18 09:10:14,14.66,True,highhum_heated,sealed,heat_on,high,14.66,88.5193068181818,8.906625,1.868231225144633,-29.331409090909077,-1.480000000000004,-0.4004772727272723,2.6310631021590485,-0.06341947528609679,0.3503471699562071,7.0689085301182075,120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat::post_change,120165524,heat_on,mainfield_extHigh_intLow_noHeat,highhum_heated,2026-03-17 18:30:00,0.0,热源启动窗口,,,,,,,False,False,False,True,control_challenge,
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,full,full_run,2026-03-06 16:04:15,2026-03-08 10:22:27,42.303333333333335,True,mainfield_extHigh_intLow_noHeat,sealed,heat_off,high,42.303333333333335,88.45334777471444,0.3872784560850729,-4.690079421753389,-38.53826703426545,6.020000000000003,2.2647777591630813,0.32888419194442076,0.11234316999522011,0.016538736586311525,-2.473507676087391,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,120165524,no_change,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,,1.0,外部高湿驱动工况,static_breathing_watch,4.0,"delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h",challenge_only,sealed mainfield segment shows response-like behavior and should be kept as a hard case,,False,False,False,True,control_challenge,
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,post_change,heat_off,2026-03-21 18:00:32,2026-03-23 17:36:29,47.59916666666667,True,mainfield_extHigh_intLow_noHeat,unsealed,heat_off,high,47.59916666666667,93.39662578836719,0.5978801681850034,-3.9580850459620094,-29.635045550105104,6.079999999999998,1.4223756131744878,-0.6377975429076912,0.06465890056999425,-0.031667175376392895,-8.3207670876946,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,120165524,heat_off,highhum_heated,mainfield_extHigh_intLow_noHeat,2026-03-21 18:00:00,0.8157894736842105,外部高湿驱动工况,static_heatoff_confound_challenge,1.0,slope_in_h_per_h,challenge_only,post-heat-off segment enters the no-heat battlefield but remains confounded by prior heating,,False,False,False,True,control_challenge,
