feature,auc,positive_reference_toward_positive,transition_positive_toward_positive,breathing_watch_toward_positive,confound_toward_positive,challenge_match,total_roles
delta_half_in_h,1.0,False,True,False,False,3,4
late_minus_early_rh_gain,1.0,False,True,False,False,3,4
weak_positive_support_score_v2,1.0,True,False,False,False,3,4
best_lag_level_hum,0.875,True,True,True,False,3,4
end_start_dAH,0.875,False,True,False,False,3,4
late_rh_gain_per_out,0.875,False,True,False,False,3,4
vpd_in_mean,0.875,False,True,False,False,3,4
ah_gap_q90,0.75,True,False,False,False,3,4
breathing_suppression_score_v2,0.75,False,True,False,False,3,4
confound_reject_score_v2,0.75,False,True,False,False,3,4
corr_headroom_in_hum,0.75,False,True,False,False,3,4
positive_drive_ratio,0.75,False,True,False,False,3,4
ah_neg_response_ratio,0.625,False,True,False,False,3,4
best_lag_rh_h,0.625,True,True,True,False,3,4
corr_out_AH_in_AH,0.625,True,False,False,False,3,4
corr_out_dew_in_dew,0.625,True,False,False,False,3,4
dew_headroom_capture_ratio,0.625,False,True,False,False,3,4
dew_neg_response_ratio,0.625,False,True,False,False,3,4
headroom_gain_ratio,0.625,False,True,False,False,3,4
max_corr_level_ah,0.625,True,False,False,False,3,4
max_corr_level_dew,0.625,True,False,False,False,3,4
positive_ah_response_ratio,0.625,False,True,False,False,3,4
vpd_gap_mean,0.625,False,True,False,False,3,4
corr_out_hum_in_hum,0.5,False,True,False,False,3,4
dew_gap_pos_ratio,0.5,True,True,True,False,3,4
early_ah_resp_ratio,0.5,False,True,False,False,3,4
max_corr_level_hum,0.5,True,False,False,False,3,4
positive_headroom_ratio,0.5,True,True,True,False,3,4
early_dew_gain_per_out,1.0,False,True,False,True,2,4
late_dew_gain_per_out,1.0,False,True,False,True,2,4
late_minus_early_dew_gain,1.0,False,True,False,True,2,4
max_corr_outRH_inRH_change,1.0,True,False,True,False,2,4
slope_in_h_per_h,1.0,True,False,True,False,2,4
amp_in_hum_p90_p10,0.875,False,True,True,False,2,4
best_lag_h,0.875,True,False,False,True,2,4
best_lag_level_ah,0.875,True,False,False,True,2,4
best_lag_level_dew,0.875,True,False,False,True,2,4
mean_dAH,0.875,True,False,False,True,2,4
std_in_hum_run,0.875,False,True,True,False,2,4
ah_ingress_slope,0.75,True,False,False,True,2,4
best_lag_dew_h,0.75,True,False,False,True,2,4
corr_dew_gap_in_dew,0.75,False,True,False,True,2,4
corr_headroom_AH_in,0.75,True,False,False,True,2,4
delta_half_dAH,0.75,False,True,True,False,2,4
dew_gap_q90,0.75,True,False,False,True,2,4
dew_ingress_r2,0.75,False,True,True,False,2,4
early_resp_ratio,0.75,True,True,True,True,2,4
early_rh_gain_per_out,0.75,False,True,False,True,2,4
late_resp_ratio,0.75,True,True,True,True,2,4
max_corr_dAH_change,0.75,True,False,True,False,2,4
max_corr_dew_change,0.75,True,False,True,False,2,4
positive_response_ratio,0.75,True,True,True,True,2,4
slope_dAH_per_h,0.75,False,True,True,False,2,4
dew_gap_mean,0.625,True,False,False,True,2,4
gain_ratio_dAH_change,0.625,False,True,False,True,2,4
late_ah_resp_ratio,0.625,True,True,True,True,2,4
ah_ingress_r2,0.5,True,False,False,True,2,4
dew_gap_area_pos,0.5,False,True,True,False,2,4
dew_ingress_slope,0.5,True,False,False,True,2,4
late_minus_early_resp_ratio,0.5,True,True,True,True,2,4
late_minus_early_vpd_gap,1.0,True,False,True,True,1,4
amp_headroom_p90_p10,0.75,True,False,True,True,1,4
dew_pos_gain_per_area,0.75,True,False,True,True,1,4
ah_pos_gain_per_area,0.625,True,False,True,True,1,4
late_ah_decay_per_headroom,0.625,False,True,True,True,1,4
mean_dT,0.625,True,False,True,True,1,4
ah_gap_area_pos,0.5,False,True,True,True,1,4
amp_AH_in_p90_p10,0.5,True,False,True,True,1,4
amp_dew_in_p90_p10,0.5,True,False,True,True,1,4
headroom_area_pos,0.5,False,True,True,True,1,4
std_AH_in_run,0.5,True,False,True,True,1,4
std_dew_in_run,0.5,True,False,True,True,1,4
