feature,auc,direction,negative_median,positive_median
delta_half_in_h,1.0,pos,-0.31504542982154504,2.378134819458378
early_dew_gain_per_out,1.0,pos,0.3214284253098647,1.0845531334876746
late_dew_gain_per_out,1.0,neg,1.4860110050809314,0.8297771980742539
late_minus_early_dew_gain,1.0,neg,1.1645825797710667,-0.3411921604036433
late_minus_early_rh_gain,1.0,pos,-0.105318731794598,1.766353761129049
late_minus_early_vpd_gap,1.0,pos,-0.06210652495632896,0.0581276778525743
max_corr_outRH_inRH_change,1.0,pos,-0.0516166976558608,0.8310859565863982
slope_in_h_per_h,1.0,pos,-0.05863015516322715,0.08968961508819825
weak_positive_support_score_v2,1.0,pos,0.41666666666666663,0.8333333333333333
amp_in_hum_p90_p10,0.875,pos,1.4619999999999997,3.815999999999999
best_lag_h,0.875,pos,0.5,1.5
best_lag_level_ah,0.875,pos,0.5,1.5
best_lag_level_dew,0.875,pos,0.5,1.5
best_lag_level_hum,0.875,neg,3.5,0.0
end_start_dAH,0.875,pos,-2.231978644859113,0.3627432437190405
late_rh_gain_per_out,0.875,pos,0.20859977800652962,2.945691238520862
mean_dAH,0.875,pos,-4.413694142014737,-4.082382879162086
std_in_hum_run,0.875,pos,0.5548232121270599,1.4024113630673742
vpd_in_mean,0.875,neg,0.8112379138772743,0.6684373897175795
ah_gap_q90,0.75,neg,4.533138931891504,4.304762034943566
ah_ingress_slope,0.75,pos,-0.14291043758521885,0.0792377271033177
amp_headroom_p90_p10,0.75,pos,0.2825485806996053,0.46043561550187384
best_lag_dew_h,0.75,pos,1.0,1.5
breathing_suppression_score_v2,0.75,neg,1.0,0.5
confound_reject_score_v2,0.75,neg,0.675,0.5
corr_dew_gap_in_dew,0.75,neg,-0.23841145736651723,-0.9470139164569111
corr_headroom_AH_in,0.75,neg,0.2870399940056301,-0.8637831136679002
corr_headroom_in_hum,0.75,neg,-0.19116426564428654,-0.9130194196291104
delta_half_dAH,0.75,pos,-0.1904130314150691,0.18473594251524217
dew_gap_q90,0.75,neg,7.583239035665878,6.818871898485342
dew_ingress_r2,0.75,neg,0.685907723322146,0.4353772913061915
dew_pos_gain_per_area,0.75,neg,0.0075366058023563,0.00312292900788645
early_resp_ratio,0.75,pos,0.5,1.0
early_rh_gain_per_out,0.75,pos,0.3139185098011276,1.1793374773918128
late_resp_ratio,0.75,pos,0.5,1.0
max_corr_dAH_change,0.75,neg,0.9656124772559015,0.9450419863378601
max_corr_dew_change,0.75,neg,0.9656460051483602,0.9438361880625198
positive_drive_ratio,0.75,neg,0.9600271002710027,0.90625
positive_response_ratio,0.75,pos,0.5,1.0
slope_dAH_per_h,0.75,pos,-0.0237034690725578,0.00754232017538445
ah_neg_response_ratio,0.625,neg,0.674264705882353,0.46822397801442805
ah_pos_gain_per_area,0.625,neg,0.0062556859486227,0.00240251961891065
best_lag_rh_h,0.625,neg,3.0,0.0
corr_out_AH_in_AH,0.625,neg,0.8986626588536473,0.8781904654561287
corr_out_dew_in_dew,0.625,neg,0.8981141036460607,0.8788417125578663
dew_gap_mean,0.625,neg,7.181242471585669,6.48097155997352
dew_headroom_capture_ratio,0.625,pos,0.325735294117647,0.5247337684644452
dew_neg_response_ratio,0.625,neg,0.674264705882353,0.4752662315355548
gain_ratio_dAH_change,0.625,pos,0.4796925043250684,0.5308841025096613
headroom_gain_ratio,0.625,pos,-0.010397870866402701,0.00078586938107765
late_ah_decay_per_headroom,0.625,pos,-0.01395980430077265,-0.0032582082658985
late_ah_resp_ratio,0.625,pos,0.0,0.0
max_corr_level_ah,0.625,neg,0.9241664079641472,0.9170589241581363
max_corr_level_dew,0.625,neg,0.9310875859016884,0.9316381797311951
mean_dT,0.625,pos,-0.21409807759307725,0.1185874532859707
positive_ah_response_ratio,0.625,pos,0.325735294117647,0.5315524583817267
vpd_gap_mean,0.625,pos,-0.5563256529014239,-0.5703645057142162
ah_gap_area_pos,0.5,pos,128.32966638889337,174.30106005170245
ah_ingress_r2,0.5,pos,0.46373721756439523,0.4545106189075053
amp_AH_in_p90_p10,0.5,pos,1.1488506556016276,0.9475168870769384
amp_dew_in_p90_p10,0.5,pos,2.107806449211774,1.706191848456438
corr_out_hum_in_hum,0.5,pos,0.03215826766457597,0.9902075438119426
dew_gap_area_pos,0.5,pos,218.28507877493564,256.16578236993473
dew_gap_pos_ratio,0.5,pos,1.0,1.0
dew_ingress_slope,0.5,pos,0.154193204343439,0.1029210912153517
early_ah_resp_ratio,0.5,pos,0.8,0.9
headroom_area_pos,0.5,pos,128.32966638889337,174.30106005170245
late_minus_early_resp_ratio,0.5,pos,0.0,0.0
max_corr_level_hum,0.5,pos,0.03409487855011739,0.9940270664844773
positive_headroom_ratio,0.5,pos,1.0,1.0
std_AH_in_run,0.5,pos,0.42039263067416666,0.3484236252418496
std_dew_in_run,0.5,pos,0.7695925177678764,0.6290649216074695
