segment_id,run_id,segment_name,segment_role,segment_source,segment_hours,segment_analyzable,segment_seal_state,primary_task,secondary_tasks,static_bucket,final_assessment_v1,raw_label_v1,raw_confidence_v1,prototype_margin_v1,transition_bucket,transition_recommended_use,weak_positive_support_score_v2,breathing_suppression_score_v2,confound_reject_score_v2,support_status_v2,support_risk_v2,support_reason_v2,needs_review_v2,best_lag_level_hum,corr_headroom_in_hum,corr_out_hum_in_hum,late_rh_gain_per_out,max_corr_level_hum,best_lag_rh_h,early_ah_resp_ratio,best_lag_dew_h,corr_dew_gap_in_dew,dew_gap_area_pos,end_start_dAH,headroom_gain_ratio,late_minus_early_rh_gain,max_corr_level_ah,max_corr_level_dew,ah_neg_response_ratio,dew_headroom_capture_ratio,dew_neg_response_ratio,best_lag_h,positive_ah_response_ratio,ah_gap_area_pos,corr_headroom_AH_in,corr_out_dew_in_dew,delta_half_dAH,delta_half_in_h,early_rh_gain_per_out,headroom_area_pos,max_corr_dew_change,slope_dAH_per_h,vpd_in_mean,late_ah_resp_ratio,max_corr_dAH_change,max_corr_outRH_inRH_change,ah_ingress_r2,ah_ingress_slope,dew_ingress_r2,dew_ingress_slope,ah_gap_q90,best_lag_level_ah,best_lag_level_dew,corr_out_AH_in_AH,mean_dT,positive_drive_ratio,vpd_gap_mean,early_dew_gain_per_out,gain_ratio_dAH_change,amp_in_hum_p90_p10,dew_gap_mean,dew_gap_q90,late_ah_decay_per_headroom,late_minus_early_vpd_gap,mean_dAH,slope_in_h_per_h,std_in_hum_run,ah_pos_gain_per_area,dew_pos_gain_per_area,late_dew_gain_per_out,amp_AH_in_p90_p10,amp_dew_in_p90_p10,amp_headroom_p90_p10,std_AH_in_run,std_dew_in_run,late_minus_early_dew_gain,predicted_memory_role_v2,anomaly_advantage_v2,health_only_risk_v2,distance_health_core,distance_anomaly_reference,distance_hard_negative,guard_feature_score_v3,support_status_v3,support_risk_v3,support_reason_v3,needs_review_v3
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na::full,120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,full,balanced_control,full_run,119.26722222222222,True,sealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na::full,120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,full,balanced_control,full_run,48.99944444444444,True,unsealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat::post_change,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,post_change,balanced_control,heat_on,29.93888888888889,True,sealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat::post_change,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,post_change,balanced_control,heat_off,13.690277777777778,True,sealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat::pre_change,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,pre_change,balanced_control,heat_off,14.099444444444444,True,sealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat::post_change,120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,post_change,highhum_heated,heat_on,31.029166666666665,True,unsealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na::full,120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,full,highhum_heated,full_run,69.33638888888889,True,unsealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat::post_change,120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,post_change,highhum_heated,heat_on,14.66,True,sealed,control_challenge,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control_challenge_support,none,segment belongs to the control/challenge pool and is used to constrain false positives,False
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat::pre_change,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,pre_change,balanced_control,heat_on,9.030833333333334,False,sealed,short_context_only,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh::post_change,120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh,post_change,highhum_heated,ext_humidity_up,4.3372222222222225,False,unsealed,short_context_only,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False
