file,before_status,after_status,status_changed,before_is_anomaly,after_is_anomaly,anomaly_changed,before_score,after_score,score_delta,branch,before_transition_status,after_transition_status,before_no_heat_status,after_no_heat_status,support_score_v2,breathing_guard_score_v2,confound_guard_score_v2
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na.xlsx,low_info_background,low_info_background,False,False,False,False,0.08,0.08,0.0,low_info,transition_weak,transition_weak,,,,,
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed.xlsx,low_info_background,low_info_background,False,False,False,False,0.08,0.08,0.0,low_info,transition_weak,transition_weak,,,,,
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed.xlsx,low_info_background,low_info_background,False,False,False,False,0.08,0.08,0.0,low_info,transition_weak,transition_weak,,,,,
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed.xlsx,low_info_background,low_info_background,False,False,False,False,0.08,0.08,0.0,low_info,transition_weak,transition_weak,,,,,
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na.xlsx,low_info_background,low_info_background,False,False,False,False,0.08,0.08,0.0,low_info,transition_weak,transition_weak,,,,,
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat.xlsx,heat_related_background,heat_related_background,False,False,False,False,0.12,0.12,0.0,heat_related,transition_weak,transition_weak,,,,,
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed.xlsx,heat_related_background,heat_related_background,False,False,False,False,0.12,0.12,0.0,heat_related,transition_weak,transition_weak,,,,,
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh.xlsx,heat_related_background,heat_related_background,False,False,False,False,0.12,0.12,0.0,heat_related,transition_weak,transition_weak,,,,,
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat.xlsx,low_info_background,low_info_background,False,False,False,False,0.08,0.08,0.0,low_info,transition_weak,transition_weak,,,,,
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na.xlsx,static_abstain_low_signal,static_abstain_low_signal,False,False,False,False,0.2511733333333336,0.2511733333333336,0.0,ext_high_hum_no_heat,transition_weak,transition_weak,static_abstain_low_signal,static_abstain_low_signal,0.42999999999999994,0.75,0.75
120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na.xlsx,heat_related_background,heat_related_background,False,False,False,False,0.12,0.12,0.0,heat_related,transition_weak,transition_weak,,,,,
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na.xlsx,static_dynamic_supported_alert,static_hard_case_watch,True,True,False,True,0.799237822021116,0.4966584427767354,-0.30257937924438066,ext_high_hum_no_heat,transition_weak,transition_weak,static_dynamic_supported_alert,static_hard_case_watch,0.7024705111346778,0.5,0.25
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed.xlsx,static_dynamic_supported_alert,static_hard_case_watch,True,True,False,True,0.8278962222222201,0.535,-0.2928962222222201,ext_high_hum_no_heat,transition_weak,transition_weak,static_dynamic_supported_alert,static_hard_case_watch,0.68,0.75,0.5
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na.xlsx,static_hard_case_watch,static_hard_case_watch,False,False,False,False,0.529166344763238,0.535,0.0058336552367620476,ext_high_hum_no_heat,transition_weak,transition_weak,static_hard_case_watch,static_hard_case_watch,0.6936241375518275,0.75,0.0
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed.xlsx,static_dynamic_supported_alert,static_dynamic_supported_alert,False,True,True,False,0.8401160000000003,0.8455600000000002,0.005443999999999893,ext_high_hum_no_heat,transition_weak,transition_weak,static_dynamic_supported_alert,static_dynamic_supported_alert,0.7011174732810029,0.25,0.25
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat.xlsx,heat_related_background,heat_related_background,False,False,False,False,0.12,0.12,0.0,heat_related,transition_weak,transition_weak,,,,,
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na.xlsx,heat_related_background,heat_related_background,False,False,False,False,0.12,0.12,0.0,heat_related,transition_weak,transition_weak,,,,,
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat.xlsx,heat_related_background,heat_related_background,False,False,False,False,0.12,0.12,0.0,heat_related,transition_weak,transition_weak,,,,,
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat.xlsx,static_hard_case_watch,static_hard_case_watch,False,False,False,False,0.5714151011827759,0.5362735910644983,-0.0351415101182776,ext_high_hum_no_heat,transition_weak,transition_weak,static_hard_case_watch,static_hard_case_watch,0.9507720316322399,0.0,0.0
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal.xlsx,static_dynamic_supported_alert,static_hard_case_watch,True,True,False,True,0.859630145038196,0.5469701186676149,-0.3126600263705811,ext_high_hum_no_heat,transition_weak,transition_weak,static_dynamic_supported_alert,static_hard_case_watch,0.5835959115962548,0.25,0.5
