segment_id,file,segment_name,segment_source,segment_seal_state,static_bucket,primary_task,challenge_role,duration_h,mean_dT,mean_dAH,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,std_in_hum_run,std_AH_in_run,amp_in_hum_p90_p10,amp_AH_in_p90_p10,amp_headroom_p90_p10,corr_out_hum_in_hum,corr_out_AH_in_AH,corr_headroom_in_hum,corr_headroom_AH_in,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h,max_corr_level_hum,best_lag_level_hum,max_corr_level_ah,best_lag_level_ah,positive_headroom_ratio,positive_drive_ratio,positive_response_ratio,positive_ah_response_ratio,headroom_area_pos,headroom_gain_ratio,early_resp_ratio,early_ah_resp_ratio,early_rh_gain_per_out,late_resp_ratio,late_ah_resp_ratio,late_rh_gain_per_out,late_ah_decay_per_headroom,late_minus_early_rh_gain,late_minus_early_resp_ratio,dew_gap_mean,dew_gap_q90,dew_gap_area_pos,dew_gap_pos_ratio,amp_dew_in_p90_p10,std_dew_in_run,corr_out_dew_in_dew,corr_dew_gap_in_dew,max_corr_dew_change,best_lag_dew_h,max_corr_level_dew,best_lag_level_dew,early_dew_gain_per_out,late_dew_gain_per_out,late_minus_early_dew_gain,dew_headroom_capture_ratio,ah_gap_q90,ah_gap_area_pos,ah_ingress_slope,ah_ingress_r2,ah_ingress_count,ah_pos_gain_per_area,ah_neg_response_ratio,dew_ingress_slope,dew_ingress_r2,dew_ingress_count,dew_pos_gain_per_area,dew_neg_response_ratio,vpd_in_mean,vpd_gap_mean,late_minus_early_vpd_gap,run_id,support_status_v2,support_risk_v2,support_reason_v2,weak_positive_support_score_v2,breathing_suppression_score_v2,confound_reject_score_v2,review_label,review_status_v2,feedback_action_v1,reviewer,review_note,provisional_role_v1,data_origin_v2,memory_bank_v2,archive,inner_path,path_label,subgroup,sheet
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,full,full_run,sealed,static_negative_reference,static_mainfield_primary,negative_reference,17.473333333333333,-0.6948999046711154,-4.2121693117821835,-1.1368899309341955,-0.3038747387064555,-0.1423855639090672,-0.045348496730808,-4.453225531235083,0.8134095038750092,0.7847189688056384,2.1240000000000023,2.136493835698208,0.4232828014392198,-0.9318242664403916,0.8370074289597724,-0.842147335635269,-0.2847666900646098,0.9579009734631694,0.0,0.4176665352325345,-0.6796397671673593,0.0,-0.9315596876238988,6.0,0.8507330753347451,0.0,1.0,0.9444444444444444,0.0,0.1764705882352941,72.03988074063221,-0.0209649846314832,0.0,0.6,-0.1836561584484994,0.0,0.0,-0.1697163318373807,-0.0250546863851216,0.0139398266111187,0.0,6.026193808702245,6.775478224968545,103.12322503547333,1.0,3.8195182443894007,1.4025185334594543,0.8371788743266206,-0.7319282290083148,0.9580396494916908,1.0,0.8646549001089048,0.0,0.3214284253098647,1.4860110050809314,1.1645825797710667,0.1764705882352941,4.373238084279983,72.03988074063221,-0.3716755567351332,0.7773583037151657,17.0,0.0113871626272493,0.8235294117647058,-0.32128546686915,0.5440242751292826,17.0,0.0135519696833785,0.8235294117647058,0.8966079266504431,-0.4772834953096311,-0.1200227869506297,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,static_negative_reference_support,none,segment remains a clean static negative reference in the main battlefield,0.3333333333333333,1.0,0.6,,,,,,negative_reference,current_health,health_core,,,,,
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::pre_change,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,pre_change,seal_change_to_unsealed,sealed,static_negative_reference,static_mainfield_primary,negative_reference,40.62722222222222,0.2667037494849609,-4.61521897224729,0.5067990712911055,-0.0769513241236827,0.0251252535826129,-0.0020584414143076,-0.0107317584831427,0.2962369203791106,0.0560662925426949,0.7999999999999972,0.161207475505047,0.1418143599599908,0.9961408017695436,0.960317888747522,0.4598188043466959,0.85884667807587,0.9733239810486336,1.0,0.5417184734176023,0.5764063718556377,6.0,0.9997494447241336,1.0,0.9975997405935492,1.0,1.0,0.975609756097561,1.0,0.475,184.6194520371545,0.0001692428986778,1.0,1.0,0.8114931780507546,1.0,0.0,0.5869158878504399,-0.0028649222164237,-0.2245772902003147,0.0,8.336291134469095,8.390999846363211,333.44693251439793,1.0,0.3960946540341474,0.1366665020762986,0.9590493329655008,0.2551053142752803,0.9732523608050296,1.0,0.997520271694472,1.0,,,,0.475,4.693039779503025,184.6194520371545,0.0858546815646955,0.1501161314136248,40.0,0.0011242092699961,0.525,0.629671875556028,0.8277911715150092,40.0,0.0015212419213341,0.525,0.7258679011041056,-0.6353678104932167,-0.0041902629620282,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,static_negative_reference_support,none,segment remains a clean static negative reference in the main battlefield,0.5,1.0,0.75,,,,,,negative_reference,current_health,health_core,,,,,
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,full,full_run,unsealed,static_positive_eval_only,static_eval_only,weak_positive,15.206944444444444,0.4385432639649507,-3.981157137470487,0.6159506123075715,-0.3398693293083172,0.0907935507991394,-0.0626501669609944,-3.8953505362475385,0.4691021898685808,0.7629395069599451,1.0079999999999956,1.6300129868701951,0.5620854633788079,0.9895938484614736,0.6982023113085194,0.8815952481786755,-0.879902331784556,-0.5472368127867813,5.0,0.1770150709562568,0.985558253053903,0.0,0.994429245680155,0.0,0.8807824294596982,3.0,1.0,0.9375,1.0,0.0,60.359867284087514,-0.0513928863497333,1.0,0.0,0.1807247352635121,1.0,0.0,0.4001453716800097,-0.0131722628368863,0.2194206364164975,0.0,6.054388070937857,6.608283569190022,92.3714860975466,1.0,3.118480312734139,1.3864746862380837,0.7580463015088971,-0.945069630114771,-0.5175006337222495,5.0,0.9083985896603046,3.0,,1.0917301526750238,,0.0,4.223364354999816,60.359867284087514,0.4931699029692361,0.9670508147753344,15.0,0.0,1.0,0.4411991571890586,0.9967992359856612,15.0,0.0,1.0,0.797430951163522,-0.5869613142552988,0.0614816664811597,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,static_supported_weak_positive,medium,raw static baseline stayed weak but multiview support score rose to 1.00,1.0,1.0,0.75,positive_reference,reviewed,promote_static_positive,codex_auto_seed_v1,full-run unsealed weak-positive segment upgraded by multiview support score 1.00,positive_reference,current_anomaly,anomaly_reference,,,,,
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,post_change,seal_change_to_unsealed,unsealed,static_positive_reference,static_mainfield_primary,positive_reference,40.64361111111111,-0.011410414104141,-4.1836086208536845,1.595874467112246,0.1478760155851457,0.0796172698386521,0.0090619572424618,0.2770429809484653,0.9449630772474866,0.104949767178945,2.559999999999995,0.2928999027175578,0.3587857676249397,0.9960731159815612,0.9724865491684604,-0.9100181104328396,0.9164891995621895,0.96135249067962,1.0,0.4827035915760118,0.9059930037627966,0.0,0.9963938273862604,0.0,0.9830263846295392,1.0,1.0,0.9761904761904762,1.0,0.3170731707317073,171.51432011025332,-0.0016801849911914,1.0,0.8,0.7196395365469873,1.0,0.0,1.335686274509737,-0.0035443600321198,0.6160467379627498,0.0,6.907555049009184,7.029460227780661,283.270033419704,1.0,0.6552843363072585,0.2356641817221818,0.9761961569216268,0.7660847111179051,0.9606285203949512,1.0,0.9858631562910576,1.0,0.679191626827748,,,0.3170731707317073,4.386159714887315,171.51432011025332,0.0273785362304286,0.0304398512092104,41.0,0.001154953146111,0.6829268292682927,0.1362786760338808,0.1176015774472635,41.0,0.0014336063324727,0.6829268292682927,0.6673454503888749,-0.5537676971731335,0.0547736892239889,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,0.6666666666666666,1.0,0.4,transition_positive,reviewed,confirm_transition_primary,codex_auto_seed_v1,mainfield transition post-change segment with strongest evidence,transition_positive,current_anomaly,anomaly_reference,,,,,
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,post_change,seal_change_to_unsealed,unsealed,static_positive_reference,static_mainfield_primary,positive_reference,71.98527777777778,0.2485853206760824,-4.4183643107676005,3.1603951718045096,0.2215958694453386,0.0885856793772571,0.0060226831083071,0.4484435064896157,1.859859648887262,0.3073220990221377,5.072000000000003,0.8470928707062146,0.3412778484612389,0.9908212391624116,0.935860767543122,-0.916020728825381,-0.8476638955512444,0.967951951903653,1.0,0.5790646134433108,0.7561789094099997,0.0,0.9936248872887996,0.0,0.9533354188565744,2.0,1.0,0.875,1.0,0.746031746031746,313.780452215844,0.0032519237533467,1.0,1.0,1.8609364081062625,1.0,0.0,4.80106100795773,-0.0029720564996772,2.940124599851468,0.0,7.463171386666523,8.150465928732402,529.8296218486065,1.0,1.845400365227208,0.6735443915076527,0.9376740009742844,-0.9688502213069872,0.96681061691858,1.0,0.9548777698020856,2.0,1.0845531334876746,0.6665005423812306,-0.418052591106444,0.7323943661971831,4.603452845672455,313.780452215844,0.0872603908728528,0.4722333223188433,71.0,0.0036500860917103,0.2535211267605634,0.062029879716896,0.429812605353558,71.0,0.0048122516833002,0.2676056338028169,0.6695293290462839,-0.6089961053694077,0.0437960521353796,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,1.0,0.0,0.4,transition_positive,reviewed,confirm_transition_primary,codex_auto_seed_v1,mainfield transition post-change segment with strongest evidence,transition_positive,current_anomaly,anomaly_reference,,,,,
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,post_change,seal_change_to_unsealed,unsealed,static_positive_reference,static_mainfield_primary,positive_reference,53.38583333333333,-0.0543757802746567,-3.3455995902515654,3.627490636704124,0.3863744199435075,0.1394416358135871,0.0154094507346829,0.6751575255558766,2.226444533556796,0.3895251514615615,6.086999999999989,1.047940903447662,0.692194961020189,0.962520649088017,0.8205201633691354,-0.973686487197209,-0.9043149703590558,0.9287314819961,2.0,0.7356976236479598,0.6758111065096494,6.0,0.9697905192313496,2.0,0.8345994269405272,1.0,1.0,0.8703703703703703,1.0,0.7872340425531915,177.0877999931516,0.0084554559446037,1.0,1.0,1.6390354182366382,1.0,0.8,4.555696202531986,0.0100949145827874,2.916660784295348,0.0,4.325550549479134,5.06783043416094,229.0615313201655,1.0,1.5669833316856678,0.5845854517072863,0.820009424141448,-0.9489582027990512,0.9270438557300884,2.0,0.8351286569090738,1.0,1.0941089277750966,0.8297771980742539,-0.2643317297008427,0.7735849056603774,3.776416603526693,177.0877999931516,0.0712150633337826,0.4367879154961674,53.0,0.0089253899060976,0.2075471698113207,0.0695635063968226,0.4409419772588251,53.0,0.0105026281849642,0.2264150943396226,0.507962004755784,-0.4414108690220601,0.096037114446957,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,0.6666666666666666,0.0,0.6,transition_positive,reviewed,confirm_transition_primary,codex_auto_seed_v1,mainfield transition post-change segment with strongest evidence,transition_positive,current_anomaly,anomaly_reference,,,,,
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,full,full_run,sealed,static_breathing_watch,control_challenge,breathing_watch,42.303333333333335,0.3872784560850729,-4.690079421753389,2.2647777591630813,0.3288841919444207,0.1123431699952201,0.0165387365863115,-2.473507676087391,1.4699285212365238,0.646338382925979,3.881999999999998,1.772698405307918,0.7688796635811652,0.9552049799426712,0.9759127066170652,-0.6955151089100583,0.8046049013706081,0.7246604476789773,1.0,0.3027590808755177,0.8645664110150036,0.0,0.9597448166238374,0.0,0.9824514241466928,0.0,1.0,0.9767441860465116,1.0,0.0952380952380952,197.19119561448383,-0.0095537147207441,1.0,0.2,0.1380184033619166,1.0,0.0,0.4994989287441959,-0.0030122322041058,0.3614805253822792,0.0,8.085101351874266,8.275724530393864,340.28708703534585,1.0,4.082763573673848,1.4813279712872462,0.9816369580847274,-0.7365437504318073,0.7412796341331052,1.0,0.9876630515126156,0.0,-0.2813783017291689,,,0.0952380952380952,5.220085794323703,197.19119561448383,-0.1089023646878964,0.3302199844523346,42.0,0.0004983472505811,0.9047619047619048,0.0713145436301899,0.0351767353884316,42.0,0.0005632460175572,0.9047619047619048,0.8702686370715736,-0.665144383353572,0.0992357088447416,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,static_watch_breathing_confirmed,watch,raw positive tendency is suppressed by breathing pattern score 1.00 with low support 0.17,0.1666666666666666,1.0,0.6,breathing_watch,reviewed,confirm_breathing_watch,codex_auto_seed_v1,sealed segment remains a confirmed breathing hard case,breathing_watch,current_hard_negative,hard_negative,,,,,
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,post_change,heat_off,unsealed,static_heatoff_confound_challenge,control_challenge,heatoff_confound,47.59916666666667,0.5978801681850034,-3.9580850459620094,1.4223756131744878,-0.6377975429076912,0.0646589005699942,-0.0316671753763928,-8.3207670876946,0.9890629335635824,2.424231649174965,2.140000000000001,3.8510381183658975,0.5756053671035644,0.9459951146712552,0.977008654078894,0.8276132260711092,-0.9192324819101824,0.9563445921822874,4.0,0.6544669305840548,0.731701047722037,4.0,0.9638411898559682,1.0,0.9963430696020504,3.0,0.9791666666666666,0.9791666666666666,1.0,0.3404255319148936,188.9999741964167,-0.0637459827953167,1.0,0.0,1.3036633589494775,1.0,1.0,1.30380414831131,0.0073757508268913,0.0001407893618323,0.0,5.305449633986923,6.007636306476239,252.8716440784118,0.9791666666666666,5.818432359606188,3.1139538922494285,0.988485359587648,-0.981283712076054,0.955810780658805,4.0,0.9970609279899394,2.0,2.3724831508328332,0.8176388323384197,-1.5548443184944136,0.3260869565217391,4.341950996207429,188.9999741964167,0.957089629093517,0.9321609344257732,46.0,0.0019573305064737,0.6521739130434783,0.4886937227381634,0.9972344036105942,46.0,0.0025335956027077,0.6739130434782609,0.7761537539239666,-0.6371991253666043,0.4712666407432001,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,static_watch_confound_confirmed,watch,segment matches heat-off confound pattern score 1.00 with low support 0.33,0.3333333333333333,0.8,1.0,confound,reviewed,confirm_confound_watch,codex_auto_seed_v1,heat-off post-change segment remains a confirmed confound challenge,confound,current_hard_negative,hard_negative,,,,,
old::2025-10-21 101019,2025-10-21 101019,,,,,,,8.967777777777778,-0.0233209647495364,0.7618275556204986,10.169728762219478,-2.486814905381477,2.4030498665253455,-0.6772452811018251,-4.437420854472534,6.9127282013841365,2.812514863851087,19.47799999999999,2.823791896699847,3.5514294235195996,0.6170731618190326,0.5808927106662641,0.8569809047690378,-0.5954694384645186,,,,,,0.775175444117561,1.0,0.9594290661790562,1.0,0.4,0.5,1.0,0.8,4.396945826660998,-1.2950797183924927,1.0,0.0,3.8033564222955816,1.0,1.0,0.2786666076942868,0.6590286296642293,-3.524689814601295,0.0,-2.7552556028411708,4.601931965750494,13.402166060382186,0.4,12.748787197340617,7.14814179425868,0.6298229736417591,-0.2175462304807293,0.9853288762559376,1.0,0.9811152716055356,1.0,1.907075938347217,0.473523089643678,-1.4335528487035387,,1.5182519255880431,4.396945826660998,,,3.0,,,,,3.0,,,0.1253433593886486,0.0721592078780555,0.1170808708296196,,,,,,,,,,,,,old_hard_negative,old_hard_negative,hard_negative_eval_only,unsealed.zip,密封状态数据/严格密封/2025-10-21 101019.xlsx,密封状态数据/严格密封,sealed_strict,Serial Data Log
old::2025-10-28 110628,2025-10-28 110628,,,,,,,12.121666666666666,0.8671016483516487,6.519491534157549,2.3340109890109915,-0.6754706367609398,0.451681645214647,-0.167007392253287,-4.3378932363016975,2.229090079560596,1.9129629172039055,4.934999999999988,1.5649006372571037,0.7761291023814811,-0.6322339399345372,0.8750296214110782,0.8329417372382413,-0.9944602788297556,0.9942871985385008,1.0,0.6968556789691982,0.86412814626604,6.0,-0.1902541465490273,6.0,0.9929567431736096,2.0,0.0,0.0,,,0.0,-6708761.405605487,,,-2.1863018116638644,,,0.0080318183573402,-17119.84311801551,2.194333630021205,,-17.421217295278556,-16.309309745650104,0.0,0.0,1.9209548128912903,2.5668928277095757,0.9504061397224096,-0.4919181876002969,0.9943158375694652,1.0,0.9950815489229122,3.0,1.264920870531209,0.043570670149027,-1.221350200382182,,-5.987758907271145,0.0,,,0.0,,,,,0.0,,,0.2659782829639012,0.7688449057939294,0.0384482128076912,,,,,,,,,,,,,old_hard_negative,old_hard_negative,hard_negative_eval_only,unsealed.zip,密封状态数据/严格密封/2025-10-28 110628.xlsx,密封状态数据/严格密封,sealed_strict,Serial Data Log
